step,cos,z,f_thumb,f_index,f_middle,clearance_mm,act_absmax
99,0.5689,0.123,9.79,8.108,1.729,23.65,2.0
100,0.5754,0.1231,9.896,8.039,1.88,23.24,2.0
101,0.5813,0.1233,9.95,7.843,2.125,22.88,2.0
102,0.5868,0.1235,9.908,7.565,2.376,22.55,2.0
103,0.592,0.1236,9.882,7.393,2.528,22.27,2.0
104,0.5969,0.1238,9.873,7.256,2.663,22.02,2.0
105,0.6017,0.1239,9.871,7.177,2.742,21.81,2.0
106,0.6064,0.1241,9.868,7.129,2.788,21.63,2.0
107,0.6111,0.1242,9.868,7.099,2.817,21.47,2.0
108,0.6157,0.1243,9.859,7.085,2.82,21.32,2.0
109,0.6202,0.1245,9.86,7.084,2.82,21.19,2.0
110,0.6248,0.1246,9.859,7.078,2.822,21.07,2.0
111,0.6293,0.1248,9.866,7.076,2.829,20.96,2.0
112,0.6338,0.125,9.869,7.075,2.832,20.86,2.0
113,0.6382,0.1251,9.882,7.08,2.837,20.78,2.0
114,0.6427,0.1253,9.866,7.07,2.829,20.7,2.0
115,0.6471,0.1254,9.864,7.068,2.829,20.64,2.0
116,0.6515,0.1256,9.864,7.067,2.828,20.58,2.0
117,0.6558,0.1258,9.853,7.067,2.816,20.54,2.0
118,0.6602,0.1259,9.852,7.069,2.812,20.51,2.0
119,0.6645,0.1261,9.846,7.074,2.801,20.49,2.0
120,0.6689,0.1263,9.836,7.083,2.783,20.47,2.0
121,0.6732,0.1265,9.827,7.095,2.762,20.46,2.0
122,0.6775,0.1267,9.816,7.111,2.736,20.46,2.0
123,0.6817,0.1268,9.802,7.123,2.71,20.47,2.0
124,0.6876,0.127,8.779,5.939,3.109,20.48,2.0
125,0.691,0.1271,9.983,6.667,3.352,20.51,2.0
126,0.695,0.1273,9.822,7.066,2.786,20.52,2.0
127,0.6992,0.1275,9.788,7.154,2.668,20.53,2.0
128,0.7046,0.1277,9.481,6.475,3.038,20.56,2.0
129,0.708,0.1278,10.102,7.067,3.067,20.55,2.0
130,0.7138,0.128,8.472,5.612,2.925,20.62,2.0
131,0.7165,0.1281,10.422,7.007,3.445,20.63,2.0
132,0.7184,0.1283,9.301,6.914,2.429,20.66,2.0
133,0.722,0.1284,10.26,7.438,2.86,20.61,2.0
134,0.7275,0.1286,8.64,5.756,2.923,20.7,2.0
135,0.7302,0.1287,10.655,7.23,3.454,20.72,2.0
136,0.7307,0.1289,8.949,6.745,2.33,20.77,2.0
137,0.7341,0.129,10.505,7.586,2.962,20.71,2.0
138,0.7369,0.1291,8.759,8.525,0.0,20.79,2.0
139,0.7411,0.1293,10.288,7.136,3.188,20.85,2.0
140,0.7461,0.1294,8.702,5.982,2.771,20.94,2.0
141,0.7497,0.1296,10.385,7.41,3.037,20.98,2.0
142,0.7526,0.1297,8.283,5.848,2.529,21.06,2.0
143,0.7564,0.1299,10.498,7.57,3.009,21.07,2.0
144,0.758,0.1301,8.815,8.647,0.0,21.15,2.0
145,0.7646,0.1302,9.106,6.509,2.814,21.21,2.0
146,0.773,0.1305,8.049,7.924,0.0,21.36,2.0
147,0.7872,0.1308,7.19,7.175,0.0,21.54,2.0
148,0.8216,0.1303,0.432,0.0,0.0,21.51,2.0
149,0.8699,0.1286,0.0,0.0,0.147,21.44,2.0
150,0.9233,0.1245,0.0,0.0,0.0,21.36,2.0
151,0.9702,0.1174,0.0,0.0,0.0,21.27,2.0
152,0.9941,0.108,0.0,0.0,0.0,21.16,2.0
153,0.9992,0.1002,0.0,0.0,0.0,21.05,2.0
154,0.9978,0.0897,0.0,0.0,0.0,20.93,2.0
155,0.9993,0.0802,0.0,0.0,0.0,20.78,2.0
156,0.9998,0.067,0.0,0.0,0.0,20.62,2.0
157,0.9984,0.0591,0.0,0.0,0.0,20.45,2.0
158,0.9925,0.0597,0.0,0.0,0.0,20.26,2.0
159,0.981,0.0593,0.0,0.0,0.0,20.05,2.0
160,0.9622,0.0584,0.0,0.0,0.0,19.82,2.0
161,0.9328,0.0569,0.0,0.0,0.0,19.77,2.0
162,0.8877,0.0544,0.0,0.0,0.0,19.82,2.0
163,0.8194,0.0506,0.0,0.0,0.0,20.15,2.0
164,0.7177,0.0448,0.0,0.0,0.0,20.68,2.0
165,0.5581,0.0383,0.0,0.0,0.0,21.3,2.0
166,0.34,0.0288,0.0,0.0,0.0,21.96,2.0
167,0.0623,0.0157,0.0,0.0,0.0,22.41,2.0
168,-0.0098,0.0116,0.0,0.0,0.0,22.6,2.0
169,-0.0006,0.0124,0.0,0.0,0.0,22.76,2.0
170,-0.0001,0.0125,0.0,0.0,0.0,23.0,2.0
171,-0.0,0.0125,0.0,0.0,0.0,23.51,2.0
172,0.0,0.0125,0.0,0.0,0.0,24.17,2.0
173,0.0,0.0125,0.0,0.0,0.0,24.67,2.0
174,0.0,0.0125,0.0,0.0,0.0,25.04,2.0
175,0.0,0.0125,0.0,0.0,0.0,25.4,2.0
176,-0.0,0.0125,0.0,0.0,0.0,25.81,2.0
177,-0.0,0.0125,0.0,0.0,0.0,26.3,2.0
178,-0.0,0.0125,0.0,0.0,0.0,26.79,2.0
179,-0.0,0.0125,0.0,0.0,0.0,27.28,2.0
180,0.0,0.0125,0.0,0.0,0.0,27.8,2.0
181,0.0,0.0125,0.0,0.0,0.0,28.35,2.0
182,0.0,0.0125,0.0,0.0,0.0,28.93,2.0
183,0.0,0.0125,0.0,0.0,0.0,29.55,2.0
184,0.0,0.0125,0.0,0.0,0.0,30.2,2.0
185,0.0,0.0125,0.0,0.0,0.0,30.89,2.0
186,0.0,0.0125,0.0,0.0,0.0,31.61,2.0
187,0.0,0.0125,0.0,0.0,0.0,32.36,2.0
188,0.0,0.0125,0.0,0.0,0.0,33.15,2.0
189,0.0,0.0125,0.0,0.0,0.0,33.98,2.0
190,-0.0,0.0125,0.0,0.0,0.0,34.85,2.0
191,-0.0,0.0125,0.0,0.0,0.0,35.75,2.0
192,-0.0,0.0125,0.0,0.0,0.0,36.67,2.0
193,-0.0,0.0125,0.0,0.0,0.0,37.61,2.0
194,-0.0,0.0125,0.0,0.0,0.0,38.38,2.0
195,0.0,0.0125,0.0,0.0,0.0,38.96,2.0
196,0.0,0.0125,0.0,0.0,0.0,39.52,2.0
197,0.0,0.0125,0.0,0.0,0.0,39.97,2.0
198,0.0,0.0125,0.0,0.0,0.0,40.06,2.0
199,0.0,0.0125,0.0,0.0,0.0,40.15,2.0
200,0.0,0.0125,0.0,0.0,0.0,40.22,2.0
201,0.0,0.0125,0.0,0.0,0.0,40.28,2.0
202,0.0,0.0125,0.0,0.0,0.0,40.32,2.0
203,0.0,0.0125,0.0,0.0,0.0,40.36,2.0
204,0.0,0.0125,0.0,0.0,0.0,40.38,2.0
205,0.0,0.0125,0.0,0.0,0.0,40.4,2.0
206,-0.0,0.0125,0.0,0.0,0.0,40.4,2.0
207,-0.0,0.0125,0.0,0.0,0.0,40.4,2.0
208,-0.0,0.0125,0.0,0.0,0.0,40.4,2.0
209,-0.0,0.0125,0.0,0.0,0.0,40.4,2.0
210,-0.0,0.0125,0.0,0.0,0.0,40.4,2.0
211,0.0,0.0125,0.0,0.0,0.0,40.4,2.0
212,0.0,0.0125,0.0,0.0,0.0,40.4,2.0
213,0.0,0.0125,0.0,0.0,0.0,40.4,2.0
214,0.0,0.0125,0.0,0.0,0.0,40.4,2.0
215,0.0,0.0125,0.0,0.0,0.0,40.4,2.0
216,0.0,0.0125,0.0,0.0,0.0,40.4,2.0
217,0.0,0.0125,0.0,0.0,0.0,40.4,2.0
218,0.0,0.0125,0.0,0.0,0.0,40.4,2.0
219,0.0,0.0125,0.0,0.0,0.0,40.4,2.0
220,0.0,0.0125,0.0,0.0,0.0,40.4,2.0
221,0.0,0.0125,0.0,0.0,0.0,40.4,2.0
222,0.0,0.0125,0.0,0.0,0.0,40.4,2.0
223,-0.0,0.0125,0.0,0.0,0.0,40.4,2.0
224,-0.0,0.0125,0.0,0.0,0.0,40.4,2.0
225,-0.0,0.0125,0.0,0.0,0.0,40.4,2.0
226,-0.0,0.0125,0.0,0.0,0.0,40.4,2.0
227,-0.0,0.0125,0.0,0.0,0.0,40.4,2.0
228,0.0,0.0125,0.0,0.0,0.0,40.4,2.0
229,0.0,0.0125,0.0,0.0,0.0,40.4,2.0
230,0.0,0.0125,0.0,0.0,0.0,40.4,2.0
231,0.0,0.0125,0.0,0.0,0.0,40.4,2.0
232,0.0,0.0125,0.0,0.0,0.0,40.4,2.0
233,0.0,0.0125,0.0,0.0,0.0,40.4,2.0
234,0.0,0.0125,0.0,0.0,0.0,40.4,2.0
235,0.0,0.0125,0.0,0.0,0.0,40.4,2.0
236,0.0,0.0125,0.0,0.0,0.0,40.39,2.0
237,0.0,0.0125,0.0,0.0,0.0,40.38,2.0
238,0.0,0.0125,0.0,0.0,0.0,40.37,2.0
239,0.0,0.0125,0.0,0.0,0.0,40.34,2.0
240,0.0,0.0125,0.0,0.0,0.0,40.33,2.0
241,0.0,0.0125,0.0,0.0,0.0,40.29,2.0
242,-0.0,0.0125,0.0,0.0,0.0,40.26,2.0
243,-0.0,0.0125,0.0,0.0,0.0,40.2,2.0
244,-0.0,0.0125,0.0,0.0,0.0,40.16,2.0
245,-0.0,0.0125,0.0,0.0,0.0,40.09,2.0
246,-0.0,0.0125,0.0,0.0,0.0,40.04,2.0
247,-0.0,0.0125,0.0,0.0,0.0,39.96,2.0
248,0.0,0.0125,0.0,0.0,0.0,39.89,2.0
249,0.0,0.0125,0.0,0.0,0.0,39.8,2.0
