step,cos,z,f_thumb,f_index,f_middle,clearance_mm,act_absmax
0,0.0004,0.0125,1.941,1.654,0.0,40.4,2.0
1,0.0002,0.0125,0.0,0.261,0.0,40.4,2.0
2,0.0,0.0125,0.0,0.0,0.0,40.4,2.0
3,0.0,0.0125,0.446,0.444,0.0,40.4,2.0
4,0.0001,0.0125,0.611,0.621,0.0,40.4,2.0
5,0.0001,0.0125,0.835,0.716,0.265,40.4,2.0
6,0.0001,0.0125,0.976,0.821,0.33,40.4,2.0
7,0.0002,0.0125,1.097,0.923,0.391,40.4,2.0
8,0.0002,0.0125,1.211,1.016,0.457,40.4,2.0
9,0.0002,0.0125,1.316,1.111,0.515,40.4,2.0
10,0.0003,0.0125,1.418,1.219,0.555,40.4,2.0
11,0.0004,0.0125,1.515,1.321,0.593,40.4,2.0
12,0.0006,0.0125,1.604,1.413,0.629,40.4,2.0
13,0.0008,0.0125,1.684,1.493,0.663,40.4,2.0
14,0.001,0.0125,1.759,1.564,0.694,40.4,2.0
15,0.0011,0.0125,1.825,1.626,0.722,40.4,2.0
16,0.0013,0.0125,1.883,1.68,0.749,40.4,2.0
17,0.0014,0.0125,1.931,1.726,0.771,40.4,2.0
18,0.0016,0.0126,1.972,1.765,0.791,40.4,2.0
19,0.0017,0.0126,2.007,1.797,0.808,40.4,2.0
20,0.0019,0.0126,2.03,1.821,0.821,40.4,2.0
21,0.002,0.0126,2.047,1.84,0.828,40.4,2.0
22,0.0021,0.0126,2.055,1.853,0.832,40.4,2.0
23,0.0022,0.0126,2.056,1.858,0.834,40.4,2.0
24,-0.0043,0.0155,2.03,1.122,1.074,40.4,2.0
25,-0.012,0.0241,1.581,0.929,0.681,40.4,2.0
26,-0.0118,0.0353,1.77,1.075,0.695,40.4,2.0
27,-0.0115,0.0473,1.955,1.202,0.754,40.4,2.0
28,-0.0125,0.0596,2.189,1.308,0.877,40.4,2.0
29,-0.0123,0.072,2.125,1.311,0.816,40.4,2.0
30,-0.012,0.0845,2.107,1.303,0.806,40.4,2.0
31,-0.0118,0.097,2.104,1.301,0.804,40.4,2.0
32,-0.0111,0.1061,3.319,2.107,1.226,40.4,2.0
33,-0.0107,0.1097,2.93,1.852,1.074,40.4,2.0
34,-0.0105,0.111,2.447,1.534,0.913,40.4,2.0
35,-0.0102,0.1115,2.251,1.401,0.853,40.4,2.0
36,-0.01,0.1116,2.174,1.348,0.829,40.4,2.0
37,-0.0098,0.1117,2.143,1.326,0.819,40.4,2.0
38,-0.0096,0.1117,2.13,1.316,0.815,40.4,2.0
39,-0.0095,0.1117,2.125,1.312,0.813,40.4,2.0
40,-0.0093,0.1117,2.121,1.309,0.812,40.4,2.0
41,-0.0091,0.1117,2.119,1.307,0.811,40.4,2.0
42,-0.0089,0.1117,2.114,1.304,0.809,40.4,2.0
43,-0.0087,0.1117,2.113,1.302,0.809,40.4,2.0
44,-0.0086,0.1117,2.112,1.302,0.809,40.4,2.0
45,-0.0084,0.1117,2.112,1.301,0.809,40.4,2.0
46,-0.0083,0.1117,2.11,1.299,0.808,40.4,2.0
47,-0.0081,0.1117,2.108,1.298,0.807,40.4,2.0
48,-0.008,0.1117,2.107,1.297,0.807,40.4,2.0
49,-0.0078,0.1117,2.106,1.295,0.806,40.4,2.0
50,-0.0077,0.1117,2.102,1.293,0.805,40.4,2.0
51,-0.0075,0.1117,2.101,1.292,0.804,40.4,2.0
52,-0.0074,0.1117,2.1,1.29,0.804,40.4,2.0
53,-0.0073,0.1118,2.098,1.289,0.803,40.4,2.0
54,-0.0072,0.1118,2.099,1.289,0.803,40.4,2.0
55,-0.007,0.1118,2.098,1.288,0.803,40.4,2.0
56,-0.0069,0.1118,2.095,1.286,0.802,40.4,2.0
57,-0.0068,0.1118,2.094,1.284,0.801,40.4,2.0
58,0.0018,0.1119,2.878,2.205,0.0,40.4,2.0
59,0.0098,0.1118,6.274,1.528,5.242,40.4,2.0
60,0.0163,0.1119,4.225,0.0,3.73,40.4,2.0
61,0.0168,0.1122,4.146,0.0,3.682,40.4,2.0
62,0.0177,0.1125,5.734,2.289,4.052,40.4,2.0
63,0.0205,0.1129,6.07,2.422,3.997,40.4,2.0
64,0.0248,0.1132,5.938,2.429,3.713,40.4,2.0
65,0.0309,0.1136,2.959,0.0,2.58,40.4,2.0
66,0.0376,0.114,5.699,2.911,3.098,40.4,2.0
67,0.0468,0.1144,6.016,3.007,3.134,40.4,2.0
68,0.0583,0.1148,5.494,2.853,2.723,40.4,2.0
69,0.0719,0.1152,5.338,2.879,2.51,39.77,2.0
70,0.0876,0.1156,5.085,2.848,2.263,38.76,2.0
71,0.105,0.1161,4.988,2.852,2.161,37.71,2.0
72,0.1227,0.1164,4.825,2.786,2.067,36.66,2.0
73,0.14,0.1168,4.673,2.739,1.964,35.62,2.0
74,0.1551,0.1172,4.555,2.878,1.801,34.58,2.0
75,0.1735,0.1176,4.893,2.921,1.956,33.56,2.0
76,0.1911,0.118,4.86,2.916,1.896,32.56,2.0
77,0.2106,0.1183,4.756,2.929,1.798,31.58,2.0
78,0.2314,0.1187,1.198,0.0,1.034,30.62,2.0
79,0.2523,0.119,5.185,3.285,1.868,29.68,2.0
80,0.2744,0.1193,4.299,2.778,1.524,28.75,2.0
81,0.2963,0.1197,5.16,3.35,1.775,27.87,2.0
82,0.3184,0.12,4.422,2.908,1.49,27.01,2.0
83,0.3405,0.1204,4.553,3.016,1.518,26.18,2.0
84,0.3629,0.1207,1.453,1.218,0.0,25.38,2.0
85,0.3859,0.1211,1.022,0.0,0.881,24.6,2.0
86,0.4081,0.1215,3.432,2.461,1.092,23.85,2.0
87,0.4285,0.1219,1.251,1.075,0.0,23.12,2.0
88,0.4489,0.1223,3.114,2.187,0.972,22.42,2.0
89,0.4676,0.1226,2.453,1.713,0.783,21.72,2.0
90,0.4862,0.1228,0.647,0.652,0.0,20.98,2.0
