t_s,thumb_yaw_deg,thumb_mcp_deg,thumb_pip_deg,index_yaw_deg,index_mcp_deg,index_pip_deg,middle_yaw_deg,middle_mcp_deg,middle_pip_deg,palm_z_mm
1.36,1.793,27.847,14.642,-13.425,36.764,0.069,22.625,27.54,7.893,0.0
1.38,1.601,27.968,14.374,-13.675,36.482,0.068,23.504,26.95,9.254,0.0
1.4,1.408,28.089,14.107,-13.925,36.2,0.067,24.384,26.359,10.614,0.0
1.42,1.216,28.21,13.839,-14.175,35.918,0.066,25.264,25.769,11.975,0.0
1.44,1.023,28.331,13.571,-14.425,35.636,0.064,26.143,25.179,13.335,0.0
1.46,0.831,28.452,13.303,-14.675,35.354,0.063,27.023,24.589,14.696,0.0
1.48,0.638,28.573,13.035,-14.925,35.072,0.062,27.902,23.999,16.056,0.0
1.5,0.446,28.694,12.767,-15.175,34.79,0.06,28.782,23.409,17.417,0.0
1.52,0.253,28.815,12.499,-15.425,34.508,0.059,29.662,22.818,18.777,0.0
1.54,0.061,28.936,12.231,-15.675,34.226,0.058,30.541,22.228,20.138,0.0
1.56,-0.132,29.057,11.963,-15.925,33.943,0.056,31.421,21.638,21.498,0.0
1.58,-0.325,29.178,11.695,-16.175,33.661,0.055,32.3,21.048,22.859,0.0
1.6,-0.517,29.299,11.427,-16.425,33.379,0.054,33.18,20.458,24.219,0.0
1.62,-0.71,29.42,11.159,-16.675,33.097,0.052,34.06,19.868,25.58,0.0
1.64,-0.902,29.541,10.891,-16.925,32.815,0.051,34.939,19.277,26.94,0.0
1.66,-1.095,29.662,10.623,-17.175,32.533,0.05,35.819,18.687,28.301,0.0
1.68,-1.287,29.783,10.355,-17.425,32.251,0.048,36.698,18.097,29.661,0.0
1.7,-1.48,29.904,10.087,-17.675,31.969,0.047,37.578,17.507,31.022,0.0
1.72,-1.672,30.025,9.819,-17.925,31.687,0.046,38.458,16.917,32.382,0.0
1.74,-1.865,30.146,9.551,-18.175,31.404,0.044,39.337,16.327,33.742,0.0
1.76,-2.057,30.267,9.283,-18.425,31.122,0.043,40.217,15.736,35.103,0.0
1.78,-2.25,30.388,9.015,-18.675,30.84,0.042,41.096,15.146,36.463,0.0
1.8,-2.442,30.509,8.747,-18.925,30.558,0.041,41.976,14.556,37.824,0.0
1.82,-2.635,30.63,8.479,-19.175,30.276,0.039,42.856,13.966,39.184,0.0
1.84,-2.828,30.751,8.211,-19.425,29.994,0.038,43.735,13.376,40.545,0.0
1.86,-3.02,30.872,7.943,-19.675,29.712,0.037,44.615,12.786,41.905,0.0
1.88,-3.213,30.993,7.675,-19.925,29.43,0.035,45.495,12.195,43.266,0.0
1.9,-3.405,31.114,7.408,-20.175,29.148,0.034,46.374,11.605,44.626,0.0
1.92,-3.598,31.235,7.14,-20.425,28.866,0.033,47.254,11.015,45.987,0.0
1.94,-3.79,31.356,6.872,-20.675,28.583,0.031,48.133,10.425,47.347,0.0
1.96,-3.983,31.477,6.604,-20.925,28.301,0.03,49.013,9.835,48.708,0.0
1.98,-4.175,31.598,6.336,-21.175,28.019,0.029,49.893,9.245,50.068,0.0
2.0,-4.368,31.719,6.068,-21.425,27.737,0.027,50.772,8.654,51.429,0.0
2.02,-4.56,31.84,5.8,-21.675,27.455,0.026,51.652,8.064,52.789,0.0
2.04,-4.753,31.961,5.532,-21.925,27.173,0.025,52.531,7.474,54.15,0.0
2.06,-4.945,32.082,5.264,-22.175,26.891,0.023,53.411,6.884,55.51,0.0
2.08,-5.138,32.203,4.996,-22.425,26.609,0.022,54.291,6.294,56.871,0.0
2.1,-5.331,32.324,4.728,-22.675,26.327,0.021,55.17,5.704,58.231,0.0
2.12,-5.523,32.445,4.46,-22.925,26.045,0.02,56.05,5.113,59.592,0.0
2.14,-5.716,32.566,4.192,-23.175,25.762,0.018,56.929,4.523,60.952,0.0
2.16,-5.908,32.687,3.924,-23.424,25.48,0.017,57.809,3.933,62.313,0.0
2.18,-6.101,32.808,3.656,-23.674,25.198,0.016,58.689,3.343,63.673,0.0
2.2,-6.293,32.929,3.388,-23.924,24.916,0.014,59.568,2.753,65.034,0.0
2.22,-6.486,33.05,3.12,-24.174,24.634,0.013,60.448,2.163,66.394,0.0
2.24,-6.678,33.171,2.852,-24.424,24.352,0.012,61.327,1.572,67.754,0.0
2.26,-6.871,33.292,2.584,-24.674,24.07,0.01,62.207,0.982,69.115,0.0
2.28,-7.063,33.413,2.316,-24.924,23.788,0.009,63.087,0.392,70.475,0.0
2.3,-7.256,33.534,2.048,-25.174,23.506,0.008,63.966,-0.198,71.836,0.0
2.32,-7.448,33.655,1.78,-25.424,23.224,0.006,64.846,-0.788,73.196,0.0
2.34,-7.641,33.776,1.512,-25.674,22.941,0.005,65.725,-1.378,74.557,0.0
2.36,-7.833,33.897,1.244,-25.924,22.659,0.004,66.605,-1.969,75.917,0.0
2.38,-8.026,34.018,0.976,-26.174,22.377,0.002,67.485,-2.559,76.936,0.0
2.4,-8.026,34.018,0.976,-26.174,22.377,0.002,67.485,-2.559,76.936,0.0
2.42,-8.026,34.018,0.976,-26.174,22.377,0.002,67.485,-2.559,76.936,0.0
2.44,-8.026,34.018,0.976,-26.174,22.377,0.002,67.485,-2.559,76.936,0.0
2.46,-8.026,34.018,0.976,-26.174,22.377,0.002,67.485,-2.559,76.936,0.0
2.48,-8.026,34.018,0.976,-26.174,22.377,0.002,67.485,-2.559,76.936,0.0
2.5,-8.026,34.018,0.976,-26.174,22.377,0.002,67.485,-2.559,76.936,0.0
2.52,-8.026,34.018,0.976,-26.174,22.377,0.002,67.485,-2.559,76.936,0.0
2.54,-8.026,34.018,0.976,-26.174,22.377,0.002,67.485,-2.559,76.936,0.0
2.56,-8.026,34.018,0.976,-26.174,22.377,0.002,67.485,-2.559,76.936,0.0
