iteration,iter_best_score,iter_mean_score,elite_mean_score,best_score_so_far,best_cube_lift_so_far,best_contacts_so_far,mean_sigma
0.0,2.5318320853036465,0.6502922781792589,2.0862807982815794,2.5318320853036465,0.05140634425742217,2.0,0.1611779530991376
1.0,3.112725647325956,1.545720107124573,2.9289826122852203,3.112725647325956,0.05530939418568771,3.0,0.1020812109844781
2.0,3.420744010616641,2.2460696305954317,2.9965930671901644,3.420744010616641,0.06419757608917984,3.0,0.0737304949307054
3.0,2.934719329158645,2.777935150583369,2.9271671855250974,3.420744010616641,0.06419757608917984,3.0,0.04683982573307313
4.0,2.929274902938637,2.9214280195448246,2.927653376491958,3.420744010616641,0.06419757608917984,3.0,0.04244990705048681
5.0,2.9298597704091796,2.896711000568666,2.9288131387082195,3.420744010616641,0.06419757608917984,3.0,0.03144548085554055
6.0,2.9303490520951985,2.927687559070815,2.9297164111019383,3.420744010616641,0.06419757608917984,3.0,0.03310451146547729
7.0,2.9313812788656506,2.9291397245147315,2.93032495577437,3.420744010616641,0.06419757608917984,3.0,0.024866213399980262
8.0,2.931077432185245,2.9259061673794116,2.9308587019781767,3.420744010616641,0.06419757608917984,3.0,0.022379905407204838
9.0,2.93159165123092,2.930547840387673,2.9311906539233425,3.420744010616641,0.06419757608917984,3.0,0.017307812209049773
10.0,2.988374797040717,2.9317944683207653,2.9395682009948696,3.420744010616641,0.06419757608917984,3.0,0.015046683736420183
11.0,2.9322955860247726,2.9289389443921525,2.9317610129113105,3.420744010616641,0.06419757608917984,3.0,0.012153403699941147
12.0,2.932651414545237,2.931792920547818,2.9322322191445225,3.420744010616641,0.06419757608917984,3.0,0.01177882924953155
13.0,2.9326984637011826,2.9320601746278254,2.9324597054750536,3.420744010616641,0.06419757608917984,3.0,0.010448178436685133
14.0,2.933149061061006,2.9324259761966145,2.932908518004602,3.420744010616641,0.06419757608917984,3.0,0.005374373098926648
15.0,2.9333138416556417,2.932789229806362,2.9331409481085418,3.420744010616641,0.06419757608917984,3.0,0.003932713262556551
16.0,2.9333800619148995,2.9330689792697053,2.9332980933307597,3.420744010616641,0.06419757608917984,3.0,0.003548138984882886
17.0,2.933623877406174,2.933277248341261,2.9334665215442466,3.420744010616641,0.06419757608917984,3.0,0.0025790879519490646
18.0,2.9337680214432584,2.93347831307059,2.933663988137261,3.420744010616641,0.06419757608917984,3.0,0.0021102394405345024
19.0,2.933777535998962,2.933591239971992,2.933743602970582,3.420744010616641,0.06419757608917984,3.0,0.0018845445734557006
