step,cos,z,f_thumb,f_index,f_middle,clearance_mm,act_absmax
0,0.003,0.0125,10.628,10.47,2.389,60.34,2.0
1,0.0002,0.0124,3.353,4.358,0.0,60.35,2.0
2,0.0007,0.0124,2.875,4.304,0.24,60.36,2.0
3,0.0008,0.0124,2.539,4.464,0.238,60.36,2.0
4,0.0008,0.0124,2.521,4.557,0.22,60.36,2.0
5,0.0008,0.0124,2.737,4.679,0.0,60.36,2.0
6,0.0009,0.0124,3.135,5.11,0.423,60.37,2.0
7,0.0009,0.0124,3.415,5.422,0.478,60.38,2.0
8,0.001,0.0124,0.102,5.312,0.0,60.39,2.0
9,0.001,0.0124,3.947,5.983,0.667,60.4,2.0
10,0.0011,0.0124,4.07,6.23,0.567,60.4,2.0
11,0.0011,0.0124,4.299,6.537,0.644,60.42,2.0
12,0.0011,0.0124,4.536,6.83,0.671,60.43,2.0
13,0.0011,0.0124,4.772,7.129,0.701,60.44,2.0
14,0.0012,0.0124,4.833,7.158,0.0,60.45,2.0
15,0.0012,0.0124,5.155,7.673,0.666,60.46,2.0
16,0.0012,0.0124,5.368,7.989,0.751,60.47,2.0
17,0.0012,0.0124,5.557,8.256,0.758,60.48,2.0
18,0.0012,0.0124,5.738,8.508,0.761,60.49,2.0
19,0.0012,0.0124,5.888,8.718,0.738,60.49,2.0
20,0.0012,0.0124,6.003,8.881,0.703,60.5,2.0
21,0.0012,0.0124,6.16,8.926,0.663,60.49,2.0
22,0.0012,0.0124,6.27,8.96,0.617,60.48,2.0
23,0.0011,0.0124,6.373,8.979,0.601,60.46,2.0
24,0.0007,0.0143,2.141,1.655,0.575,60.5,2.0
25,0.0003,0.0222,1.807,1.327,0.542,60.52,2.0
26,0.002,0.033,1.9,1.334,0.563,60.52,2.0
27,0.0038,0.0449,2.008,1.391,0.602,60.52,2.0
28,0.0056,0.0571,2.052,1.432,0.605,60.53,2.0
29,0.0073,0.0694,2.071,1.44,0.617,60.53,2.0
30,0.009,0.0818,2.074,1.43,0.631,60.54,2.0
31,0.0106,0.0943,2.07,1.413,0.645,60.55,2.0
32,0.0126,0.1034,2.716,1.945,0.856,60.59,2.0
33,0.0146,0.1069,2.378,1.805,0.562,60.63,2.0
34,0.0164,0.1081,2.149,1.625,0.516,60.65,2.0
35,0.0179,0.1085,2.057,1.538,0.519,60.66,2.0
36,0.0194,0.1086,2.023,1.486,0.534,60.67,2.0
37,0.0208,0.1086,2.009,1.461,0.544,60.68,2.0
38,0.0221,0.1086,2.002,1.438,0.559,60.69,2.0
39,0.0233,0.1085,1.993,1.434,0.554,60.69,2.0
40,0.0245,0.1085,1.99,1.415,0.57,60.7,2.0
41,0.0257,0.1084,1.986,1.405,0.576,60.71,2.0
42,0.0268,0.1084,1.982,1.39,0.587,60.71,2.0
43,0.0278,0.1083,1.978,1.376,0.598,60.72,2.0
44,0.0288,0.1083,1.974,1.363,0.607,60.72,2.0
45,0.0298,0.1083,1.971,1.344,0.623,60.73,2.0
46,0.0307,0.1082,1.967,1.334,0.629,60.73,2.0
47,0.0316,0.1082,1.962,1.332,0.626,60.74,2.0
48,0.0324,0.1081,1.958,1.322,0.632,60.74,2.0
49,0.0332,0.1081,1.953,1.316,0.633,60.75,2.0
50,0.034,0.108,1.947,1.318,0.625,60.75,2.0
51,0.0348,0.108,1.942,1.311,0.627,60.76,2.0
52,0.0355,0.108,1.938,1.305,0.629,60.76,2.0
53,0.0363,0.1079,1.926,1.314,0.609,60.76,2.0
54,0.037,0.1079,1.925,1.308,0.614,60.77,2.0
55,0.0377,0.1079,1.927,1.291,0.631,60.77,2.0
56,0.0383,0.1078,1.926,1.281,0.641,60.78,2.0
57,0.039,0.1078,1.914,1.289,0.622,60.78,2.0
58,0.0531,0.1078,7.662,5.808,3.861,60.21,2.0
59,0.0676,0.1078,7.88,5.967,3.77,59.68,2.0
60,0.0824,0.1079,7.707,5.874,3.429,59.17,2.0
61,0.0972,0.108,6.613,5.546,2.894,58.71,2.0
62,0.1123,0.1081,7.111,5.437,2.985,58.26,2.0
63,0.128,0.1082,7.259,5.592,2.714,57.79,2.0
64,0.1433,0.1084,6.81,5.253,2.45,57.43,2.0
65,0.1585,0.1086,6.392,4.904,2.552,57.1,2.0
66,0.1735,0.1088,6.231,4.498,3.325,56.87,2.0
67,0.1881,0.109,7.184,4.029,4.686,56.57,2.0
68,0.2022,0.1093,7.563,2.91,5.841,56.35,2.0
69,0.2164,0.1096,7.426,2.89,5.547,56.12,2.0
70,0.2306,0.1099,7.24,2.851,5.226,55.89,2.0
71,0.2448,0.1103,7.047,2.819,4.907,55.66,2.0
72,0.259,0.1107,6.854,2.795,4.595,55.43,2.0
73,0.2731,0.1111,6.664,2.773,4.295,55.2,2.0
74,0.287,0.1116,6.477,2.751,4.008,54.99,2.0
75,0.3007,0.112,6.298,2.735,3.743,54.78,2.0
76,0.314,0.1125,6.125,2.72,3.5,54.59,2.0
77,0.3262,0.113,6.515,2.874,3.649,54.4,2.0
78,0.3383,0.1135,5.852,2.712,3.117,54.25,2.0
79,0.3503,0.1141,5.647,2.673,2.916,54.09,2.0
80,0.3619,0.1146,5.516,2.658,2.778,53.86,2.0
81,0.3728,0.1152,5.398,2.644,2.661,53.57,2.0
82,0.384,0.1158,6.709,2.686,3.941,53.2,2.0
83,0.3953,0.1163,6.417,2.63,3.683,52.77,2.0
84,0.406,0.1169,6.245,2.609,3.523,52.26,2.0
85,0.4162,0.1174,6.116,2.603,3.412,51.7,2.0
86,0.4257,0.118,6.008,2.605,3.336,51.07,2.0
87,0.4346,0.1186,5.92,2.614,3.288,50.4,2.0
88,0.4427,0.1192,5.843,2.624,3.264,49.68,2.0
89,0.4502,0.1198,5.776,2.629,3.25,48.91,2.0
90,0.4568,0.1204,5.568,2.684,3.098,48.13,2.0
91,0.462,0.1208,2.441,1.912,0.0,47.58,2.0
92,0.4705,0.1209,7.626,5.648,2.023,47.04,2.0
93,0.4796,0.1207,2.719,0.0,2.298,46.21,2.0
94,0.4873,0.1204,2.94,0.0,2.49,45.29,2.0
95,0.4961,0.1202,5.684,4.352,3.185,44.35,2.0
96,0.5061,0.12,6.048,4.389,3.217,43.41,2.0
97,0.5144,0.1199,5.864,4.177,4.018,42.49,2.0
98,0.5248,0.1198,4.406,0.0,3.896,41.57,2.0
99,0.534,0.1198,5.362,0.0,4.831,40.68,2.0
100,0.5434,0.1198,6.135,4.049,4.543,39.77,2.0
101,0.5533,0.1197,6.796,4.038,5.351,38.9,2.0
102,0.5629,0.1197,6.048,0.0,5.53,38.05,2.0
103,0.5713,0.1198,7.318,4.062,5.966,37.22,2.0
