step,cos,z,f_thumb,f_index,f_middle,clearance_mm,act_absmax
0,0.0015,0.0124,13.611,7.309,2.823,59.33,2.0
1,0.0009,0.0124,4.583,2.195,0.214,59.35,2.0
2,0.0008,0.0124,4.353,2.099,0.049,59.36,2.0
3,0.0007,0.0124,4.354,2.256,0.0,59.37,2.0
4,0.0008,0.0124,4.398,2.485,0.0,59.38,2.0
5,0.0008,0.0124,4.449,2.741,0.0,59.38,2.0
6,0.0009,0.0124,4.543,3.195,0.361,59.39,2.0
7,0.0009,0.0124,4.622,3.519,0.436,59.4,2.0
8,0.001,0.0124,4.704,3.847,0.509,59.4,2.0
9,0.0011,0.0124,4.787,4.177,0.579,59.41,2.0
10,0.0011,0.0124,4.865,4.507,0.643,59.41,2.0
11,0.0011,0.0124,4.934,4.787,0.638,59.41,2.0
12,0.0012,0.0124,5.034,5.156,0.751,59.42,2.0
13,0.0012,0.0124,5.095,5.461,0.782,59.42,2.0
14,0.0013,0.0124,5.187,5.78,0.846,59.43,2.0
15,0.0014,0.0124,5.13,5.605,0.0,59.43,2.0
16,0.0014,0.0124,5.305,6.344,0.889,59.43,2.0
17,0.0014,0.0124,5.375,6.63,0.941,59.44,2.0
18,0.0014,0.0124,5.44,6.89,0.976,59.44,2.0
19,0.0015,0.0124,5.492,7.131,0.998,59.44,2.0
20,0.0015,0.0124,5.54,7.357,1.021,59.45,2.0
21,0.0015,0.0124,5.561,7.538,0.983,59.45,2.0
22,0.0016,0.0124,5.634,7.746,1.029,59.45,2.0
23,0.0016,0.0124,5.663,7.915,1.048,59.45,2.0
24,0.0017,0.0145,1.865,1.415,0.66,59.46,2.0
25,0.0031,0.0227,1.56,1.101,0.571,59.43,2.0
26,0.0046,0.0336,1.729,1.152,0.625,59.41,2.0
27,0.0059,0.0455,1.867,1.212,0.688,59.38,2.0
28,0.0073,0.0578,1.932,1.253,0.714,59.37,2.0
29,0.0086,0.0701,1.954,1.266,0.724,59.35,2.0
30,0.0099,0.0826,1.958,1.269,0.726,59.33,2.0
31,0.0112,0.095,1.955,1.268,0.725,59.32,2.0
32,0.0126,0.1041,2.685,1.727,0.961,59.31,2.0
33,0.0143,0.1077,2.414,1.743,0.681,59.31,2.0
34,0.0159,0.1089,2.134,1.597,0.578,59.3,2.0
35,0.0174,0.1094,1.989,1.506,0.537,59.28,2.0
36,0.0188,0.1095,1.927,1.459,0.528,59.27,2.0
37,0.0202,0.1095,1.898,1.441,0.517,59.25,2.0
38,0.0216,0.1095,1.886,1.425,0.52,59.24,2.0
39,0.0229,0.1095,1.88,1.416,0.521,59.23,2.0
40,0.0242,0.1095,1.876,1.408,0.524,59.21,2.0
41,0.0254,0.1094,1.872,1.405,0.523,59.2,2.0
42,0.0266,0.1094,1.868,1.397,0.526,59.19,2.0
43,0.0277,0.1094,1.864,1.39,0.529,59.17,2.0
44,0.0288,0.1094,1.861,1.384,0.532,59.16,2.0
45,0.0299,0.1093,1.858,1.377,0.534,59.15,2.0
46,0.031,0.1093,1.853,1.375,0.532,59.14,2.0
47,0.032,0.1093,1.851,1.37,0.535,59.13,2.0
48,0.033,0.1093,1.848,1.364,0.537,59.12,2.0
49,0.0339,0.1093,1.845,1.359,0.54,59.1,2.0
50,0.0348,0.1092,1.843,1.354,0.542,59.09,2.0
