timestamp,servo_id,position_deg
1788018359.480983,0,-41.3086
1788018359.57711,0,-41.3086
1788018359.6730828,0,-41.3086
1788018359.784951,0,-41.3086
1788018359.881216,0,-41.6016
1788018359.9770691,0,-41.3086
1788018360.0730891,0,-41.3086
1788018360.185081,0,-41.3086
1788018360.280975,0,-41.3086
1788018360.3769338,0,-41.3086
1788018360.472975,0,-41.3086
1788018360.584943,0,-41.3086
1788018360.680906,0,-41.3086
1788018360.7769659,0,-41.3086
1788018360.873048,0,-41.3086
1788018360.9850109,0,-41.3086
1788018361.080981,0,-41.3086
1788018361.1768608,0,-41.3086
1788018361.27295,0,-41.3086
1788018361.368814,0,-41.3086
1788018361.480941,0,-41.3086
1788018361.576975,0,-41.3086
1788018361.67279,0,-41.3086
1788018361.784796,0,-41.3086
1788018361.880969,0,-41.3086
1788018361.976982,0,-41.3086
1788018362.0728781,0,-41.3086
1788018362.184788,0,-41.3086
1788018362.2808619,0,-41.3086
1788018362.3769999,0,-41.3086
1788018362.472927,0,-41.3086
1788018362.5688372,0,-41.6016
1788018362.680765,0,-41.8945
1788018362.776741,0,-42.1875
1788018362.873324,0,-42.1875
1788018362.984877,0,-42.1875
1788018363.080875,0,-42.1875
1788018363.176894,0,-42.7734
1788018363.2729988,0,-42.7734
1788018363.384744,0,-42.7734
1788018363.480887,0,-43.6523
1788018363.576874,0,-45.1172
1788018363.672748,0,-46.5820
1788018363.768703,0,-48.0469
1788018363.88077,0,-49.5117
1788018363.976768,0,-50.9766
1788018364.072744,0,-53.0273
1788018364.184897,0,-54.4922
1788018364.28067,0,-55.9570
1788018364.376737,0,-57.4219
1788018364.472822,0,-59.1797
1788018364.5687191,0,-60.0586
1788018364.680762,0,-61.5234
1788018364.776907,0,-62.9883
1788018364.872708,0,-64.7461
1788018364.968679,0,-66.2109
1788018365.0808718,0,-67.6758
1788018365.176746,0,-68.8477
1788018365.272626,0,-70.3125
1788018365.384801,0,-72.3633
1788018365.48091,0,-73.8281
1788018365.57677,0,-75.2930
1788018365.6727521,0,-76.4648
1788018365.7847412,0,-78.8086
1788018365.881043,0,-80.5664
1788018365.9768262,0,-82.3242
1788018366.072663,0,-84.0820
1788018366.1846552,0,-85.5469
1788018366.280728,0,-87.3047
1788018366.376668,0,-89.3555
1788018366.472648,0,-91.9922
1788018366.568606,0,-94.0430
1788018366.6805198,0,-95.5078
1788018366.776512,0,-97.5586
1788018366.8726962,0,-99.6094
1788018366.968522,0,-101.3672
1788018367.080569,0,-103.1250
1788018367.176587,0,-104.8828
1788018367.272473,0,-106.3477
1788018367.368541,0,-107.5195
1788018367.4806132,0,-108.9844
1788018367.576706,0,-109.8633
1788018367.672462,0,-110.1563
1788018367.784496,0,-111.0352
1788018367.880618,0,-110.7422
1788018367.976651,0,-111.0352
1788018368.072523,0,-111.0352
1788018368.184552,0,-110.4492
1788018368.280583,0,-108.9844
1788018368.376597,0,-108.6914
1788018368.472546,0,-107.2266
1788018368.5684092,0,-105.1758
1788018368.680474,0,-102.8320
1788018368.77658,0,-100.4883
1788018368.8726249,0,-98.4375
1788018368.984571,0,-96.0938
1788018369.080522,0,-94.3359
1788018369.176476,0,-92.2852
1788018369.272388,0,-90.2344
1788018369.3845792,0,-87.8906
1788018369.480646,0,-85.5469
1788018369.5765219,0,-84.0820
1788018369.672481,0,-82.0312
1788018369.7845051,0,-79.6875
1788018369.880399,0,-78.2227
1788018369.976437,0,-76.1719
1788018370.072393,0,-75.5859
1788018370.1682692,0,-74.4141
1788018370.280341,0,-73.2422
1788018370.3764741,0,-72.0703
1788018370.4723399,0,-70.3125
1788018370.5845041,0,-68.8477
1788018370.680363,0,-67.3828
1788018370.7763891,0,-66.2109
1788018370.872372,0,-64.4531
1788018370.98453,0,-62.4023
1788018371.080456,0,-60.3516
1788018371.176507,0,-58.8867
1788018371.2722821,0,-57.4219
1788018371.368204,0,-55.6641
1788018371.48042,0,-53.6133
1788018371.5763571,0,-50.6836
1788018371.672374,0,-48.6328
1788018371.784278,0,-45.7031
1788018371.8804889,0,-43.6523
1788018371.9763288,0,-41.3086
1788018372.072326,0,-38.9648
1788018372.168276,0,-37.2070
1788018372.280253,0,-34.5703
1788018372.37635,0,-32.2266
1788018372.472297,0,-30.1758
1788018372.568208,0,-28.4180
1788018372.680253,0,-26.3672
1788018372.776277,0,-24.6094
1788018372.872266,0,-23.1445
1788018372.984247,0,-20.8008
1788018373.080273,0,-18.7500
1788018373.1762502,0,-16.4062
1788018373.272305,0,-13.7695
1788018373.368157,0,-12.3047
1788018373.480271,0,-10.5469
1788018373.576266,0,-8.2031
1788018373.672144,0,-6.1523
1788018373.768221,0,-3.8086
1788018373.8802292,0,-2.0508
1788018373.97628,0,0.2930
1788018374.072196,0,1.4648
1788018374.1681752,0,3.5156
1788018374.280129,0,6.1523
1788018374.376223,0,8.2031
1788018374.4721699,0,9.9609
1788018374.584204,0,12.3047
1788018374.680208,0,15.8203
1788018374.776074,0,18.4570
1788018374.8721821,0,20.2148
1788018374.984132,0,22.8516
1788018375.080181,0,24.9023
1788018375.176152,0,26.0742
1788018375.272157,0,27.5391
1788018375.3840818,0,28.4180
1788018375.480202,0,29.5898
1788018375.576148,0,31.0547
1788018375.672195,0,32.5195
1788018375.7680142,0,33.3984
1788018375.880191,0,33.3984
1788018375.976285,0,33.6914
1788018376.0721338,0,33.3984
1788018376.1681569,0,33.3984
1788018376.280016,0,33.3984
1788018376.376214,0,32.2266
1788018376.472081,0,31.9336
1788018376.584239,0,30.4688
1788018376.6800032,0,28.1250
1788018376.7760599,0,25.4883
1788018376.872017,0,21.6797
1788018376.968093,0,18.1641
1788018377.0801768,0,13.7695
1788018377.176096,0,10.5469
1788018377.2721128,0,8.4961
1788018377.384127,0,6.1523
1788018377.480085,0,3.5156
1788018377.575996,0,1.7578
1788018377.672055,0,-1.1719
1788018377.767998,0,-3.8086
1788018377.880047,0,-7.9102
1788018377.975996,0,-10.8398
1788018378.072083,0,-12.8906
1788018378.1679978,0,-15.8203
1788018378.2799308,0,-19.0430
1788018378.376086,0,-21.6797
1788018378.472024,0,-24.0234
1788018378.5841,0,-26.6602
1788018378.6798751,0,-29.0039
1788018378.775967,0,-31.3477
1788018378.871949,0,-33.3984
1788018378.967957,0,-34.8633
1788018379.0800729,0,-36.6211
1788018379.17589,0,-38.3789
1788018379.2719948,0,-39.2578
1788018379.36785,0,-40.7227
1788018379.480046,0,-41.8945
1788018379.5759401,0,-42.7734
1788018379.671936,0,-42.7734
1788018379.7678652,0,-42.7734
1788018379.879952,0,-43.0664
1788018379.975907,0,-43.0664
1788018380.071841,0,-43.0664
1788018380.184067,0,-43.0664
1788018380.279936,0,-43.0664
1788018380.375904,0,-43.0664
1788018380.471885,0,-43.0664
1788018380.567839,0,-43.0664
1788018380.679911,0,-43.0664
1788018380.775869,0,-43.3594
1788018380.872038,0,-43.0664
1788018380.967874,0,-43.0664
1788018381.079882,0,-43.0664
1788018381.1757529,0,-42.7734
1788018381.2719202,0,-43.0664
1788018381.3678238,0,-43.0664
1788018381.479968,0,-43.0664
1788018381.5758562,0,-43.0664
1788018381.6718562,0,-43.0664
1788018381.783914,0,-43.0664
1788018381.8798342,0,-42.7734
1788018381.975808,0,-43.0664
1788018382.071787,0,-43.0664
1788018382.183852,0,-43.0664
1788018382.2797928,0,-43.0664
1788018382.3757849,0,-43.0664
1788018382.471817,0,-43.0664
1788018382.583849,0,-43.0664
1788018382.6797912,0,-43.0664
1788018382.775779,0,-43.0664
1788018382.871687,0,-42.7734
1788018382.98393,0,-42.7734
1788018383.079696,0,-43.0664
1788018383.1757271,0,-43.0664
1788018383.271779,0,-43.0664
1788018383.367627,0,-43.0664
1788018383.479745,0,-43.0664
1788018383.575712,0,-43.0664
1788018383.671702,0,-43.0664
1788018383.783846,0,-43.0664
1788018383.879696,0,-43.0664
1788018383.9757462,0,-43.0664
1788018384.0717518,0,-43.0664
1788018384.183842,0,-43.0664
1788018384.2796931,0,-43.0664
1788018384.375715,0,-43.0664
1788018384.47171,0,-43.0664
1788018384.58381,0,-43.0664
1788018384.679632,0,-42.7734
1788018384.775632,0,-43.0664
1788018384.871757,0,-43.0664
1788018384.983741,0,-43.0664
1788018385.0798159,0,-43.0664
1788018385.175612,0,-43.0664
1788018385.2715662,0,-43.0664
1788018385.383817,0,-43.0664
1788018385.479549,0,-43.0664
1788018385.575753,0,-43.0664
1788018385.671592,0,-43.0664
1788018385.7675562,0,-43.0664
1788018385.879601,0,-43.0664
1788018385.9755101,0,-43.0664
1788018386.071557,0,-43.0664
1788018386.183777,0,-43.0664
1788018386.2794812,0,-43.0664
1788018386.375715,0,-43.0664
1788018386.471555,0,-43.0664
1788018386.567602,0,-43.0664
1788018386.679612,0,-42.7734
1788018386.7755342,0,-43.0664
1788018386.871566,0,-43.0664
1788018386.9675431,0,-43.0664
1788018387.079594,0,-43.0664
1788018387.175543,0,-43.0664
1788018387.271532,0,-43.0664
1788018387.383702,0,-43.0664
1788018387.47958,0,-43.0664
1788018387.575566,0,-43.0664
1788018387.671502,0,-42.1875
1788018387.783626,0,-42.7734
1788018387.879612,0,-43.0664
1788018387.975532,0,-42.7734
