iteration,iter_best_score,iter_mean_score,elite_mean_score,best_score_so_far,best_cube_lift_so_far,best_contacts_so_far,mean_sigma,iteration_seconds
0.0,4.037803604186565,1.0400893932044986,3.5329472512383533,4.037803604186565,0.04866078781705003,4.0,0.17303041724472012,0.6955806440091692
1.0,4.507662568392717,2.290823533021646,4.0878009128047035,4.507662568392717,0.04984616321178194,5.0,0.14491705840518695,0.7387703600106761
2.0,4.918477705221053,3.7948290022855122,4.679834840317238,4.918477705221053,0.04976160687424034,6.0,0.11482043484222627,0.8455630000098608
3.0,4.9351124515570675,4.343726625772991,4.895560409006179,4.9351124515570675,0.05020767643189931,6.0,0.08218553001398539,0.9342774139950052
4.0,4.965414194067237,4.628665918940215,4.923159302091287,4.965414194067237,0.0520129738075969,6.0,0.06612323021263483,0.9781113800127059
5.0,4.951969676898379,4.783480076587566,4.932652049343679,4.965414194067237,0.0520129738075969,6.0,0.06099493066957051,0.989636104030069
6.0,4.945372702388293,4.80516237988661,4.935827768360236,4.965414194067237,0.0520129738075969,6.0,0.04472849000681291,0.9916437720530666
7.0,4.948657515282259,4.899490811349681,4.944063062007049,4.965414194067237,0.0520129738075969,6.0,0.036308269431851205,1.0319294690270908
8.0,4.98282808737607,4.911551697647564,4.959713889065434,4.98282808737607,0.051851049773211894,6.0,0.03475237852452892,1.044549131009262
9.0,4.990043716851242,4.955684577878976,4.973214453614417,4.990043716851242,0.051786094202743375,6.0,0.02891987696203505,1.063474814989604
10.0,4.994302647995866,4.9606970282532785,4.983547922318935,4.994302647995866,0.05190095797207496,6.0,0.02298920195498387,1.0841765459626913
11.0,5.002715247250321,4.973949915071843,4.997022113708129,5.002715247250321,0.052210906775118984,6.0,0.01592565074501133,1.0938652189797722
12.0,5.013626555563887,4.9861023400856155,5.004042292639588,5.013626555563887,0.05249700420268659,6.0,0.012332535843477245,1.0918820739607327
13.0,5.015122433416791,4.995076510137061,5.010131692210275,5.015122433416791,0.05261379873103225,6.0,0.01048202701352068,1.1051578969927505
14.0,5.018157040212536,5.001436764993807,5.014549627747818,5.018157040212536,0.052745400133760466,6.0,0.009359023557311297,1.109836500021629
15.0,5.023903873842179,5.010666668913183,5.020432947660631,5.023903873842179,0.052901301156908095,6.0,0.007238905131133199,1.1148095489479601
16.0,5.026708262065662,5.014553305969818,5.0218536636641185,5.026708262065662,0.052938368328785027,6.0,0.0061029167187731425,1.1057237460045144
17.0,5.0311866690049,5.0186171560348285,5.026362516827333,5.0311866690049,0.05310017450966871,6.0,0.0056881450168369905,1.1098092180327512
18.0,5.0322484104112,5.022038911994975,5.0293158536118225,5.0322484104112,0.0530278597505481,6.0,0.005210810227171509,1.093049542978406
19.0,5.033176100352706,5.024318577622279,5.03113092382889,5.033176100352706,0.053022750681575276,6.0,0.004448461903091407,1.1013257729937322
20.0,5.035411265027323,5.027699299714085,5.03239956241796,5.035411265027323,0.05319120227869169,6.0,0.003600722864526616,1.099633863021154
21.0,5.038584988655256,5.030595743108075,5.035505106455951,5.038584988655256,0.053217972156354314,6.0,0.003099920651682237,1.1224517119699158
22.0,5.038103711218368,5.031831907905921,5.036463803463238,5.038584988655256,0.053217972156354314,6.0,0.0025072734634202995,1.125774472951889
23.0,5.038833216782293,5.0331599153953634,5.037003681446891,5.038833216782293,0.05316014082160132,6.0,0.0021809496449753034,1.1308704600087367
24.0,5.040044984608227,5.0339613754276,5.037511853967316,5.040044984608227,0.05324211803379357,6.0,0.0020965406101056076,1.1258976490353234
25.0,5.040418651967507,5.0335374192936335,5.038114908967688,5.040418651967507,0.05324444315419506,6.0,0.0020599210361942045,1.1279377400060184
26.0,5.039498807876691,5.033968594016262,5.038712489524045,5.040418651967507,0.05324444315419506,6.0,0.002032099031662748,1.1173783849808387
27.0,5.041349249433651,5.0347991990164225,5.038478714324829,5.041349249433651,0.053292319698517804,6.0,0.0014410481261876433,1.1108625599881634
28.0,5.040840828596851,5.035635965743236,5.039285559874602,5.041349249433651,0.053292319698517804,6.0,0.001481855802832387,1.1170938610448502
29.0,5.040915673427442,5.03627679943666,5.039464593602965,5.041349249433651,0.053292319698517804,6.0,0.0013656033602848499,1.116451125999447
30.0,5.042645476593671,5.035975447105997,5.041011649434007,5.042645476593671,0.05329574883266161,6.0,0.00124857919708759,1.1208657919778489
31.0,5.042891849144334,5.037090352988967,5.041270239364822,5.042891849144334,0.05331972715807842,6.0,0.0011486448762841424,1.1311006449977867
32.0,5.042704990945385,5.0378413034665055,5.041279797314331,5.042891849144334,0.05331972715807842,6.0,0.0010815105616092814,1.133032668964006
33.0,5.043475829644233,5.03796947175918,5.04178153510338,5.043475829644233,0.05329815547732217,6.0,0.0011230943947618617,1.127279053966049
34.0,5.04177417994504,5.036909244918064,5.0405394049673555,5.043475829644233,0.05329815547732217,6.0,0.0011562556835885592,1.1269676569500007
35.0,5.044197709233254,5.0377220646034395,5.0413681259182335,5.044197709233254,0.053354138158125626,6.0,0.0011010740137279364,1.1309681729762815
