scene_key,candidate_id,scene_xml,selected_foundational_pose,feasible,feasibility_max_mean_tip_distance,feasibility_min_contacts,feasibility_min_finger_contact_persistence,feasibility_max_finger_yaw_drift,feasible_pose_count,foundational_pose_count,score,cube_lift,cube_tip_contacts,mean_tip_distance,cube_vel_norm,cube_xy_drift,cube_z_drop_from_peak,contact_persistence,thumb_contact_persistence,index_contact_persistence,middle_contact_persistence,all_finger_contact_persistence,min_finger_contact_persistence,finger_persistence_imbalance,finger_yaw_drift,finger_flex_drift,thumb_x,thumb_y,thumb_len,index_x,index_y,index_len,middle_x,middle_y,middle_len,chosen_ctrl_json
prism1,11,/home/humanoid/Programs/hand/results/phase1/run_20260413_pollard_multiscene_500_run3/prism1/generated_mjcf/scene_prism1_tp0d0103p0d0300p0d0000_ip0d0187n0d0008p0d0110_mp0d0016p0d0266p0d0094.xml,prism_y0d0250,True,0.02,4.0,0.45,0.4,1.0,1.0,4.995711657323445,0.05333391496863328,5.0,0.0053683515480695216,0.2725564739781142,0.01993432529581284,0.0,1.0,1.0,1.0,0.5388888888888889,0.5388888888888889,0.5388888888888889,0.46111111111111114,0.17412495213871107,0.13124857694455236,0.010258174286989438,0.03,0.0,0.018727362165893817,-0.0007513190384077374,0.010973044310663125,0.0015703362935799488,0.026643091531750922,0.009358453337292495,"[-0.024103448321711882, 1.2952516524678863, -1.1306679467142458, -0.2642269151809965, 1.4895605092355748, 0.9519330463384001, 0.02387907029269381, 1.4800774695764218, 1.0127427367470068]"
prism1,36,/home/humanoid/Programs/hand/results/phase1/run_20260413_pollard_multiscene_500_run3/prism1/generated_mjcf/scene_prism1_tn0d0089p0d0254p0d0000_ip0d0026n0d0036p0d0015_mp0d0096p0d0249p0d0000.xml,prism_y0d0250,True,0.02,4.0,0.45,0.4,1.0,1.0,7.286054376945049,0.05520620077168263,6.0,0.005561934490482576,0.25714473062895077,0.008823271062342356,0.00017372822261094156,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.08434053894747683,0.11420433499134404,-0.008943396673879896,0.025426964262415527,0.0,0.0025748214496964378,-0.0035892000340033304,0.0015459077068942575,0.00962797461631001,0.02487177036596363,0.0,"[-0.024103448321711882, 1.2952516524678863, -1.1306679467142458, -0.2642269151809965, 1.4895605092355748, 0.9519330463384001, 0.02387907029269381, 1.4800774695764218, 1.0127427367470068]"
prism1,42,/home/humanoid/Programs/hand/results/phase1/run_20260413_pollard_multiscene_500_run3/prism1/generated_mjcf/scene_prism1_tn0d0094p0d0189p0d0000_ip0d0036n0d0063p0d0034_mp0d0154p0d0053p0d0000.xml,prism_y0d0250,True,0.02,4.0,0.45,0.4,1.0,1.0,6.986878327940471,0.05001796167810305,6.0,0.005298856084986012,1.3285741121235193,0.00684264478679965,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.09342531688042222,0.03877063240683215,-0.009420546518732465,0.0188501309198506,0.0,0.003575475406852743,-0.00632986259990556,0.003448914289927449,0.015418184441244877,0.005287405821515873,0.0,"[-0.024103448321711882, 1.2952516524678863, -1.1306679467142458, -0.2642269151809965, 1.4895605092355748, 0.9519330463384001, 0.02387907029269381, 1.4800774695764218, 1.0127427367470068]"
prism1,57,/home/humanoid/Programs/hand/results/phase1/run_20260413_pollard_multiscene_500_run3/prism1/generated_mjcf/scene_prism1_tn0d0117p0d0196p0d0000_ip0d0213n0d0028p0d0111_mp0d0125p0d0157p0d0080.xml,prism_y0d0250,True,0.02,4.0,0.45,0.4,1.0,1.0,7.068796634225549,0.0492040188534696,6.0,0.0051861942851403366,0.48791758466366564,0.005754422854551254,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.11306612495184194,0.044382674593813974,-0.011709566023867376,0.019592201922411186,0.0,0.021319150102846428,-0.00275523755717884,0.01105595726232652,0.012492871785778067,0.015663848805663412,0.00798522838512554,"[-0.024103448321711882, 1.2952516524678863, -1.1306679467142458, -0.2642269151809965, 1.4895605092355748, 0.9519330463384001, 0.02387907029269381, 1.4800774695764218, 1.0127427367470068]"
prism1,76,/home/humanoid/Programs/hand/results/phase1/run_20260413_pollard_multiscene_500_run3/prism1/generated_mjcf/scene_prism1_tn0d0113p0d0240p0d0000_ip0d0118n0d0052p0d0000_mp0d0039p0d0207p0d0000.xml,prism_y0d0250,True,0.02,4.0,0.45,0.4,1.0,1.0,6.890990300717617,0.04986171609204279,5.0,0.005333530752794531,0.12571766186963831,0.0007637478624993142,3.7794042939173766e-05,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.018321938029466415,0.0025741959962252703,-0.011332418251265538,0.023982671318296504,0.0,0.011834084351033164,-0.005211212745469809,0.0,0.0038962598250180834,0.020709806091373795,0.0,"[-0.024103448321711882, 1.2952516524678863, -1.1306679467142458, -0.2642269151809965, 1.4895605092355748, 0.9519330463384001, 0.02387907029269381, 1.4800774695764218, 1.0127427367470068]"
prism1,83,/home/humanoid/Programs/hand/results/phase1/run_20260413_pollard_multiscene_500_run3/prism1/generated_mjcf/scene_prism1_tn0d0076p0d0268p0d0000_ip0d0116n0d0088p0d0000_mn0d0012p0d0270p0d0076.xml,prism_y0d0250,True,0.02,4.0,0.45,0.4,1.0,1.0,7.162702952448239,0.049955386339736924,6.0,0.005289299413385427,0.5696823019531997,0.0027702434592103264,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0644919288890207,0.017182471357039358,-0.007615952366620589,0.02676994545049784,0.0,0.011578113540041342,-0.00879563808260816,0.0,-0.0011742335437274105,0.026988800245438982,0.007617363433869751,"[-0.024103448321711882, 1.2952516524678863, -1.1306679467142458, -0.2642269151809965, 1.4895605092355748, 0.9519330463384001, 0.02387907029269381, 1.4800774695764218, 1.0127427367470068]"
prism1,85,/home/humanoid/Programs/hand/results/phase1/run_20260413_pollard_multiscene_500_run3/prism1/generated_mjcf/scene_prism1_tn0d0007p0d0158p0d0056_ip0d0183n0d0166p0d0000_mp0d0218p0d0254p0d0000.xml,prism_y0d0250,True,0.02,4.0,0.45,0.4,1.0,1.0,6.933080333185826,0.052000542822762105,5.0,0.0068220515234446505,0.05938805215067986,0.0022631803139467875,0.00020508336713119524,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.023796895676271107,0.04909875355165949,-0.0007242270174430531,0.01582120179505725,0.005623269061173778,0.018283433942996835,-0.01656094181848386,0.0,0.021800433240013316,0.025360559741709553,0.0,"[-0.024103448321711882, 1.2952516524678863, -1.1306679467142458, -0.2642269151809965, 1.4895605092355748, 0.9519330463384001, 0.02387907029269381, 1.4800774695764218, 1.0127427367470068]"
prism1,92,/home/humanoid/Programs/hand/results/phase1/run_20260413_pollard_multiscene_500_run3/prism1/generated_mjcf/scene_prism1_tp0d0092p0d0218p0d0000_ip0d0041n0d0045p0d0035_mp0d0031p0d0064p0d0000.xml,prism_y0d0250,True,0.02,4.0,0.45,0.4,1.0,1.0,5.070489429199991,0.051743836842392504,6.0,0.005406624968052402,4.556081577988198,0.030289860137617853,0.0,1.0,1.0,1.0,0.6611111111111111,0.6611111111111111,0.6611111111111111,0.3388888888888889,0.16292484293927864,0.16331073976885538,0.009193872035903945,0.02181295623272573,0.0,0.0040552741037858985,-0.0045332674722808695,0.003460812432078599,0.0030934256771718233,0.006421691842922003,0.0,"[-0.024103448321711882, 1.2952516524678863, -1.1306679467142458, -0.2642269151809965, 1.4895605092355748, 0.9519330463384001, 0.02387907029269381, 1.4800774695764218, 1.0127427367470068]"
prism1,98,/home/humanoid/Programs/hand/results/phase1/run_20260413_pollard_multiscene_500_run3/prism1/generated_mjcf/scene_prism1_tn0d0114p0d0238p0d0000_ip0d0195n0d0037p0d0008_mp0d0071p0d0204p0d0050.xml,prism_y0d0250,True,0.02,4.0,0.45,0.4,1.0,1.0,6.865916966357931,0.049364738459107785,5.0,0.005308147734779586,0.13914319625048222,0.001536611920614157,6.9676757852021876e-06,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.019310938737064784,0.0034937648670746078,-0.011412276955248405,0.02379807387899146,0.0,0.019462260282733714,-0.0036636593388789888,0.0008100502558857133,0.0070586596157323,0.02041174898220853,0.005024872692297698,"[-0.024103448321711882, 1.2952516524678863, -1.1306679467142458, -0.2642269151809965, 1.4895605092355748, 0.9519330463384001, 0.02387907029269381, 1.4800774695764218, 1.0127427367470068]"
prism1,100,/home/humanoid/Programs/hand/results/phase1/run_20260413_pollard_multiscene_500_run3/prism1/generated_mjcf/scene_prism1_tn0d0100p0d0188p0d0000_ip0d0107n0d0038p0d0000_mp0d0094p0d0173p0d0065.xml,prism_y0d0250,True,0.02,4.0,0.45,0.4,1.0,1.0,7.334241135321654,0.051630531188631396,6.0,0.0068647299283443085,0.07620202599471215,0.0015279579005074394,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.01579283471265354,0.04541422081770269,-0.009951865181536158,0.018775567695502312,0.0,0.010669241071932166,-0.003820563471950528,0.0,0.009405390983008566,0.017280054041644587,0.0064756874760196585,"[-0.024103448321711882, 1.2952516524678863, -1.1306679467142458, -0.2642269151809965, 1.4895605092355748, 0.9519330463384001, 0.02387907029269381, 1.4800774695764218, 1.0127427367470068]"
