step,cos,z,f_thumb,f_index,f_middle
133,0.4258,0.1137,6.578,3.003,3.536
134,0.4261,0.1137,6.602,2.941,3.618
135,0.4256,0.1137,6.49,2.783,3.646
136,0.4259,0.1136,6.546,2.905,3.597
137,0.4268,0.1137,6.491,2.872,3.547
138,0.4276,0.1137,6.547,2.925,3.552
139,0.428,0.1137,6.638,2.989,3.581
140,0.4281,0.1137,6.577,2.872,3.627
141,0.4287,0.1137,6.672,2.927,3.669
142,0.4289,0.1137,6.531,2.926,3.532
143,0.43,0.1137,6.623,3.013,3.58
144,0.4298,0.1137,6.548,2.867,3.607
145,0.4305,0.1137,6.677,2.986,3.655
146,0.4309,0.1137,6.76,3.073,3.67
147,0.4308,0.1137,6.717,3.07,3.609
148,0.4312,0.1137,6.812,3.122,3.664
149,0.4318,0.1137,6.787,3.06,3.68
150,0.4317,0.1137,6.792,3.063,3.671
151,0.4321,0.1137,6.75,2.975,3.715
152,0.4323,0.1137,6.749,2.998,3.678
153,0.4324,0.1136,6.733,2.999,3.685
154,0.4326,0.1136,6.851,3.038,3.737
155,0.4327,0.1136,6.755,3.024,3.684
156,0.433,0.1136,6.77,3.037,3.672
157,0.433,0.1136,6.667,2.907,3.684
158,0.4336,0.1136,6.732,3.014,3.651
159,0.4342,0.1136,6.763,3.054,3.641
160,0.4345,0.1136,6.834,3.142,3.648
161,0.4346,0.1136,6.741,2.973,3.702
162,0.435,0.1136,6.887,3.086,3.748
163,0.435,0.1136,6.834,3.031,3.726
164,0.4353,0.1136,6.818,3.086,3.692
165,0.4359,0.1136,6.954,3.183,3.749
166,0.4362,0.1136,6.883,3.18,3.675
167,0.4369,0.1136,6.951,3.155,3.745
168,0.4375,0.1136,6.931,3.094,3.766
169,0.4381,0.1136,6.887,3.114,3.723
170,0.4385,0.1136,6.888,3.137,3.717
171,0.4389,0.1136,6.812,3.042,3.695
172,0.4389,0.1136,6.708,2.983,3.657
173,0.4392,0.1136,6.707,3.009,3.649
174,0.4392,0.1136,6.781,3.087,3.661
175,0.4393,0.1136,6.825,3.061,3.713
176,0.4389,0.1135,6.535,2.886,3.591
177,0.4385,0.1135,6.531,2.915,3.596
178,0.4388,0.1135,6.577,2.888,3.612
179,0.4394,0.1135,6.754,3.087,3.632
180,0.4397,0.1135,6.706,3.05,3.598
181,0.4401,0.1135,6.652,2.895,3.675
182,0.4402,0.1135,6.603,2.891,3.635
183,0.4396,0.1135,6.734,2.982,3.674
184,0.4397,0.1135,6.569,2.911,3.623
185,0.4402,0.1135,6.667,2.963,3.634
186,0.4405,0.1135,6.62,2.965,3.595
187,0.4412,0.1135,6.759,3.023,3.668
188,0.4417,0.1135,6.774,3.017,3.679
189,0.4418,0.1135,6.729,2.994,3.689
190,0.4419,0.1135,6.738,3.005,3.67
191,0.4424,0.1135,6.823,3.113,3.682
