step,cos,z,f_thumb,f_index,f_middle
133,0.8265,0.1254,8.697,5.357,3.827
134,0.8344,0.1254,7.664,4.586,3.254
135,0.8417,0.1253,8.057,5.268,3.199
136,0.8492,0.1253,7.71,5.313,2.761
137,0.8568,0.1253,7.764,4.83,3.219
138,0.8639,0.1253,7.777,5.13,2.98
139,0.871,0.1252,6.859,3.579,3.23
140,0.8774,0.1251,6.16,3.099,2.962
141,0.8843,0.1251,6.935,3.463,3.458
142,0.8904,0.1251,5.331,2.494,2.789
143,0.8961,0.1251,5.606,2.479,3.061
144,0.901,0.125,5.936,2.035,3.744
145,0.9042,0.1252,5.748,2.066,3.546
146,0.9045,0.1253,4.963,2.237,2.724
147,0.9064,0.1254,4.344,1.533,2.679
148,0.9065,0.1256,4.297,1.839,2.429
149,0.9063,0.126,4.508,1.63,2.815
150,0.9106,0.1262,4.836,1.333,3.341
151,0.9121,0.1263,3.246,1.282,1.893
152,0.9145,0.1264,3.762,1.511,2.205
153,0.9166,0.1267,4.459,1.403,2.921
154,0.9169,0.1269,3.481,1.438,2.031
155,0.9165,0.127,3.905,1.488,2.367
156,0.9155,0.1273,2.496,0.0,2.072
157,0.9184,0.1275,3.229,1.165,1.958
158,0.9204,0.1277,3.404,1.091,2.186
159,0.919,0.1278,3.46,1.621,1.993
160,0.9172,0.1281,3.653,1.515,2.17
161,0.9177,0.1282,3.409,1.452,2.0
162,0.9188,0.1284,3.729,1.32,2.325
163,0.9158,0.1284,3.46,1.823,2.08
164,0.9167,0.1286,4.943,1.945,3.018
165,0.9189,0.1288,4.159,1.054,2.945
166,0.9185,0.129,4.4,1.703,2.695
167,0.9195,0.1291,4.516,1.511,2.922
168,0.9178,0.1292,4.259,1.835,2.568
169,0.916,0.1293,4.413,2.033,2.659
170,0.9153,0.1295,4.368,1.642,2.724
171,0.9156,0.1297,4.606,1.704,2.891
172,0.9131,0.1298,4.527,2.008,2.746
173,0.9129,0.13,4.791,1.751,3.03
174,0.9171,0.1303,4.034,0.641,3.218
175,0.9192,0.1304,4.052,1.272,2.62
176,0.9199,0.1305,3.672,1.395,2.162
177,0.9166,0.1307,4.268,2.29,2.226
178,0.9161,0.1308,4.679,2.072,2.603
179,0.9212,0.131,3.354,0.99,2.285
180,0.9237,0.1311,3.456,1.538,1.888
181,0.9263,0.1313,3.153,1.239,1.811
182,0.9253,0.1314,3.85,1.995,2.008
183,0.9277,0.1314,3.59,1.684,1.928
184,0.9282,0.1315,3.157,1.692,1.633
185,0.9298,0.1315,3.686,1.505,2.104
186,0.9268,0.1316,3.808,2.156,2.005
