step,cos,z,f_thumb,f_index,f_middle
133,0.9563,0.0511,0.0,0.0,0.0
134,0.9505,0.0511,0.0,0.0,0.0
135,0.9429,0.051,0.0,0.0,0.0
136,0.9327,0.0508,0.0,0.0,0.0
137,0.9187,0.0505,0.0,0.0,0.0
138,0.8994,0.0501,0.0,0.0,0.0
139,0.8723,0.0495,0.0,0.0,0.0
140,0.8339,0.0484,0.0,0.0,0.0
141,0.7792,0.0467,0.0,0.0,0.0
142,0.7012,0.044,0.0,0.0,0.0
143,0.5922,0.0396,0.0,0.0,0.0
144,0.4394,0.0332,0.0,0.0,0.0
145,0.2351,0.0239,0.0,0.0,0.0
146,-0.022,0.0113,0.0,0.0,0.0
147,-0.0946,0.0075,0.0,0.0,0.0
148,-0.0633,0.0092,0.0,0.0,0.0
149,-0.0343,0.0107,0.0,0.0,0.0
150,-0.0169,0.0115,0.0,0.0,0.0
151,-0.0078,0.012,0.0,0.0,0.0
152,-0.0033,0.0122,0.0,0.0,0.0
153,-0.0014,0.0122,0.0,0.0,0.0
154,-0.0006,0.0123,0.0,0.0,0.0
155,-0.0002,0.0123,0.0,0.0,0.0
156,-0.0001,0.0123,0.0,0.0,0.0
157,-0.0,0.0123,0.0,0.0,0.0
158,-0.0,0.0123,0.0,0.0,0.0
159,-0.0,0.0123,0.0,0.0,0.0
160,-0.0,0.0123,0.0,0.0,0.0
161,-0.0,0.0123,0.0,0.0,0.0
162,-0.0,0.0123,0.0,0.0,0.0
163,-0.0,0.0123,0.0,0.0,0.0
164,-0.0,0.0123,0.0,0.0,0.0
165,0.0,0.0123,0.0,0.0,0.0
166,0.0,0.0123,0.0,0.0,0.0
167,0.0,0.0123,0.0,0.0,0.0
168,0.0,0.0123,0.0,0.0,0.0
169,0.0,0.0123,0.0,0.0,0.0
170,0.0,0.0123,0.0,0.0,0.0
171,0.0,0.0123,0.0,0.0,0.0
172,0.0,0.0123,0.0,0.0,0.0
173,0.0,0.0123,0.0,0.0,0.0
174,0.0,0.0123,0.0,0.0,0.0
175,0.0,0.0123,0.0,0.0,0.0
176,0.0,0.0123,0.0,0.0,0.0
177,0.0,0.0123,0.0,0.0,0.0
178,0.0,0.0123,0.0,0.0,0.0
179,0.0,0.0123,0.0,0.0,0.0
180,0.0,0.0123,0.0,0.0,0.0
181,0.0,0.0123,0.0,0.0,0.0
182,0.0,0.0123,0.0,0.0,0.0
