step,cos,z,f_thumb,f_index,f_middle
133,0.7384,0.1285,9.376,5.214,4.661
134,0.7438,0.1285,9.754,5.079,5.112
135,0.7491,0.1285,9.663,5.157,5.065
136,0.7544,0.1285,9.588,5.235,5.21
137,0.7598,0.1286,9.319,5.57,5.358
138,0.7652,0.1287,9.33,5.247,5.012
139,0.7705,0.1287,9.253,5.201,4.948
140,0.7757,0.1288,9.121,5.057,4.561
141,0.7812,0.1288,9.567,4.841,5.239
142,0.7865,0.1289,9.171,4.969,4.837
143,0.7918,0.129,9.047,4.974,4.757
144,0.797,0.1291,9.345,5.078,4.834
145,0.8022,0.129,9.939,5.318,5.258
146,0.8074,0.1291,8.909,5.05,4.724
147,0.8126,0.1292,8.352,4.723,4.458
148,0.8178,0.1294,8.31,4.53,4.372
149,0.822,0.1294,8.501,4.985,4.15
150,0.8267,0.1295,8.194,4.657,4.123
151,0.8314,0.1296,7.883,4.594,4.0
152,0.8351,0.1297,8.2,4.904,3.769
153,0.839,0.1298,8.074,4.732,3.815
154,0.8431,0.1299,7.735,4.879,3.656
155,0.8469,0.13,7.859,4.508,3.828
156,0.8521,0.1303,7.158,4.246,4.084
157,0.8564,0.1305,7.045,4.577,3.636
158,0.8586,0.1305,7.135,4.862,2.781
159,0.8632,0.1308,7.049,4.614,3.603
160,0.8661,0.1309,7.321,4.575,3.308
161,0.8677,0.1309,7.573,4.802,3.031
162,0.8689,0.131,7.988,5.397,2.778
163,0.8722,0.1311,7.368,5.039,3.04
164,0.8753,0.1312,7.477,5.107,3.003
165,0.8773,0.1313,7.811,4.415,3.288
166,0.8785,0.1313,8.4,4.756,3.415
167,0.8814,0.1315,7.975,4.341,3.123
168,0.8829,0.1316,8.168,4.329,2.682
169,0.8843,0.1316,8.661,4.47,2.957
170,0.8838,0.1316,9.178,4.305,2.749
171,0.8854,0.1316,9.368,4.432,2.577
172,0.8867,0.1317,8.874,3.732,3.015
173,0.8883,0.1318,9.388,4.212,2.173
174,0.8907,0.132,9.337,4.119,2.043
175,0.8907,0.132,9.72,4.524,1.37
176,0.8947,0.1321,9.547,4.276,2.67
177,0.8958,0.1322,9.709,4.149,2.109
178,0.8965,0.1321,10.011,4.616,2.004
179,0.8959,0.132,10.393,4.849,1.961
180,0.897,0.1321,10.287,4.871,1.604
181,0.897,0.1322,10.186,4.581,1.671
182,0.8991,0.1322,9.95,4.433,2.094
183,0.8976,0.1322,10.438,4.824,1.581
184,0.8994,0.1322,10.077,4.674,1.89
185,0.9007,0.1322,10.046,4.637,2.056
186,0.901,0.1322,10.043,4.491,2.07
187,0.9016,0.1323,10.048,4.465,2.244
188,0.9047,0.1323,9.919,4.606,2.623
189,0.904,0.1323,10.128,4.839,2.242
190,0.9043,0.1323,10.376,4.796,2.371
191,0.9019,0.1322,10.747,5.267,2.398
192,0.904,0.1323,10.198,5.023,2.534
193,0.9043,0.1323,10.145,4.897,1.997
194,0.9043,0.1323,10.35,5.13,1.992
195,0.9065,0.1324,10.589,5.24,2.039
196,0.9082,0.1325,10.453,5.377,2.18
197,0.9077,0.1325,10.713,5.321,2.417
198,0.9077,0.1324,10.724,5.73,2.092
199,0.9112,0.1326,10.5,5.154,2.704
200,0.9109,0.1328,10.451,4.834,1.886
201,0.9113,0.1327,10.576,5.388,2.257
202,0.9117,0.1328,10.615,5.189,2.459
203,0.9131,0.1329,10.34,4.978,2.141
204,0.9149,0.133,10.841,5.289,2.688
205,0.9153,0.133,10.748,5.429,2.249
206,0.9171,0.1332,10.821,5.227,2.317
207,0.9179,0.1332,11.189,5.385,2.487
208,0.9176,0.1331,11.538,6.152,1.842
209,0.9193,0.1332,11.129,5.354,2.684
210,0.919,0.1333,11.042,5.23,2.42
211,0.9209,0.1334,10.886,5.374,2.446
212,0.9202,0.1333,11.341,5.814,2.256
213,0.9205,0.1333,11.155,5.741,1.981
