iteration,iter_best_score,iter_mean_score,elite_mean_score,best_score_so_far,best_cube_lift_so_far,best_contacts_so_far,mean_sigma,iteration_seconds
0.0,2.483502169432105,0.7348630114344608,2.1148545756758086,2.483502169432105,0.04972385908248696,2.0,0.16347392952360063,0.2222300770226866
1.0,3.070696908985847,1.83304000588121,2.940104516548059,3.070696908985847,0.06598981444594094,2.0,0.11037752129227507,0.22644767101155594
2.0,3.0199064871909824,2.129978921270976,2.9257619189440196,3.070696908985847,0.06598981444594094,2.0,0.07754661461841124,0.2336216830299236
3.0,2.972977929861527,2.8505527237002584,2.941477727999252,3.070696908985847,0.06598981444594094,2.0,0.06630996463362084,0.24306523200357333
4.0,2.9575611029026687,2.8775869717272484,2.9376333791903613,3.070696908985847,0.06598981444594094,2.0,0.047117867852529347,0.23963292001280934
5.0,2.939038398300515,2.896799462369396,2.9336519456701735,3.070696908985847,0.06598981444594094,2.0,0.03179560635233758,0.24052289203973487
6.0,2.9479333574880657,2.9213355292586347,2.9417274843718526,3.070696908985847,0.06598981444594094,2.0,0.029867788292707382,0.23885681497631595
7.0,3.05070154558032,2.9287983063559966,2.9712755598253153,3.070696908985847,0.06598981444594094,2.0,0.0167952705439786,0.23961921402951702
8.0,3.001655387347217,2.91197818489223,2.9595683082298514,3.070696908985847,0.06598981444594094,2.0,0.01547606078069014,0.24423948203912005
9.0,2.958144281044159,2.8639221272458544,2.9503401504536773,3.070696908985847,0.06598981444594094,2.0,0.014013989244415128,0.24271172896260396
10.0,3.000138668534497,2.890597312749363,2.97088103958675,3.070696908985847,0.06598981444594094,2.0,0.013155781518512665,0.236681001028046
11.0,3.0003026290586003,2.886347713699946,2.9644794562294123,3.070696908985847,0.06598981444594094,2.0,0.011907088743549493,0.23641158896498382
12.0,2.99155734546744,2.8733243332829472,2.9579326536787542,3.070696908985847,0.06598981444594094,2.0,0.009902212981168739,0.23609024501638487
13.0,2.972670080239701,2.9214131593909336,2.957786538412614,3.070696908985847,0.06598981444594094,2.0,0.010155199816387055,0.23658983001951128
14.0,2.9604777763767336,2.898547564490878,2.953534801698815,3.070696908985847,0.06598981444594094,2.0,0.008809220086123455,0.24335801601409912
15.0,3.1253807051281446,2.918434267985118,2.9825184899758246,3.1253807051281446,0.055771232827649134,3.0,0.009515809073715726,0.23539753700606525
16.0,3.038275228749014,2.8459284331019643,2.964941455293048,3.1253807051281446,0.055771232827649134,3.0,0.006686723646480621,0.23781400499865413
17.0,3.027080164968518,2.9045834094445646,2.9787017234751807,3.1253807051281446,0.055771232827649134,3.0,0.004671751956877936,0.2443343789782375
18.0,3.0091673857256325,2.939273063421741,2.9825631754397515,3.1253807051281446,0.055771232827649134,3.0,0.004481801395987936,0.23756488598883152
19.0,3.11456215932992,2.946421627982721,3.0285976468861286,3.1253807051281446,0.055771232827649134,3.0,0.00417166197725766,0.23697009100578725
