step,cos,z,f_thumb,f_index,f_middle,clearance_mm,act_absmax
0,0.0005,0.0124,5.237,1.959,0.0,40.4,2.0
1,0.0007,0.0124,3.441,0.944,0.0,40.4,2.0
2,0.0005,0.0124,3.308,0.0,0.0,40.4,2.0
3,0.0004,0.0124,3.134,0.0,0.0,40.4,2.0
4,0.0004,0.0124,3.024,0.0,0.0,40.4,2.0
5,0.0004,0.0125,2.937,0.0,0.0,40.4,2.0
6,0.0004,0.0125,3.081,0.537,0.0,40.4,2.0
7,0.0004,0.0125,3.077,0.711,0.0,40.4,2.0
8,0.0005,0.0125,3.051,0.862,0.0,40.4,2.0
9,0.0005,0.0125,3.043,1.011,0.0,40.4,2.0
10,0.0005,0.0125,3.038,1.15,0.0,40.4,2.0
11,0.0005,0.0125,3.038,1.278,0.0,40.4,2.0
12,0.0005,0.0125,3.041,1.397,0.0,40.4,2.0
13,0.0005,0.0125,3.042,1.503,0.0,40.4,2.0
14,0.0005,0.0125,3.045,1.6,0.0,40.4,2.0
15,0.0005,0.0125,3.047,1.688,0.0,40.4,2.0
16,0.0005,0.0125,3.045,1.765,0.0,40.4,2.0
17,0.0005,0.0125,3.05,1.836,0.0,40.4,2.0
18,0.0007,0.0125,3.188,1.943,0.566,40.4,2.0
19,0.0008,0.0125,3.149,2.006,0.664,40.4,2.0
20,0.0009,0.0125,3.004,2.15,1.044,40.4,2.0
21,0.0008,0.0125,3.045,2.178,0.692,40.4,2.0
22,0.0008,0.0125,2.986,2.234,0.717,40.4,2.0
23,0.0008,0.0125,2.926,2.276,0.742,40.4,2.0
24,0.0006,0.0155,1.377,0.881,0.596,40.4,2.0
25,0.0005,0.0243,1.416,0.863,0.576,40.4,2.0
26,0.0007,0.0354,1.71,1.061,0.65,40.4,2.0
27,0.0009,0.0474,1.931,1.213,0.719,40.4,2.0
28,0.0011,0.0597,2.037,1.285,0.753,40.4,2.0
29,0.0013,0.0722,2.077,1.312,0.766,40.4,2.0
30,0.0015,0.0847,2.09,1.32,0.77,40.4,2.0
31,0.0017,0.0971,2.094,1.323,0.771,40.4,2.0
32,0.0024,0.1063,3.323,2.159,1.176,40.4,2.0
33,0.0029,0.1099,2.916,1.893,1.02,40.4,2.0
34,0.0032,0.1112,2.438,1.567,0.87,40.4,2.0
35,0.0034,0.1116,2.241,1.43,0.815,40.4,2.0
36,0.0036,0.1118,2.164,1.374,0.792,40.4,2.0
37,0.0038,0.1119,2.135,1.353,0.784,40.4,2.0
38,0.0039,0.1119,2.123,1.344,0.78,40.4,2.0
39,0.0041,0.1119,2.119,1.34,0.779,40.4,2.0
40,0.0043,0.1119,2.116,1.337,0.777,40.4,2.0
41,0.0044,0.1119,2.115,1.336,0.778,40.4,2.0
42,0.0046,0.1119,2.111,1.333,0.776,40.4,2.0
43,0.0047,0.1119,2.108,1.331,0.775,40.4,2.0
44,0.0049,0.1119,2.107,1.33,0.774,40.4,2.0
45,0.005,0.1119,2.107,1.329,0.775,40.4,2.0
46,0.0052,0.1119,2.106,1.328,0.774,40.4,2.0
47,0.0053,0.1119,2.106,1.328,0.774,40.4,2.0
48,0.0054,0.1119,2.103,1.326,0.773,40.4,2.0
49,0.0055,0.1119,2.101,1.324,0.772,40.4,2.0
50,0.0057,0.1119,2.101,1.324,0.772,40.4,2.0
51,0.0058,0.1119,2.1,1.323,0.772,40.4,2.0
52,0.0059,0.1119,2.098,1.321,0.771,40.4,2.0
53,0.006,0.1119,2.097,1.32,0.77,40.4,2.0
54,0.0061,0.1119,2.095,1.319,0.77,40.4,2.0
55,0.0062,0.1119,2.094,1.318,0.769,40.4,2.0
56,0.0063,0.1119,2.094,1.317,0.769,40.4,2.0
57,0.0064,0.1119,2.093,1.316,0.769,40.4,2.0
58,0.0107,0.112,5.126,5.132,2.917,40.4,2.0
59,0.0222,0.1122,7.175,5.91,5.174,40.4,2.0
60,0.0372,0.1124,7.259,5.988,5.443,40.4,2.0
61,0.0521,0.1125,7.342,5.984,5.307,40.4,2.0
62,0.0673,0.1127,7.318,5.927,5.126,40.4,2.0
63,0.0828,0.1129,7.289,5.868,4.935,40.4,2.0
64,0.0986,0.1132,7.249,5.806,4.722,40.4,2.0
65,0.1148,0.1134,7.222,5.747,4.514,40.4,2.0
66,0.1314,0.1137,7.19,5.678,4.291,40.4,2.0
67,0.1483,0.114,7.124,5.6,4.038,40.4,2.0
68,0.1655,0.1143,7.062,5.518,3.777,40.4,2.0
69,0.1831,0.1147,7.038,5.448,3.524,40.4,2.0
70,0.2011,0.115,7.029,5.368,3.274,40.4,2.0
71,0.2193,0.1154,7.028,5.281,3.026,40.4,2.0
72,0.2378,0.1159,7.041,5.198,2.794,40.4,2.0
73,0.2564,0.1163,7.07,5.113,2.599,40.4,2.0
74,0.2751,0.1167,7.118,5.03,2.46,40.39,2.0
75,0.2938,0.1172,7.194,4.963,2.4,40.37,2.0
76,0.3123,0.1177,7.288,4.894,2.435,40.34,2.0
77,0.3306,0.1182,7.407,4.838,2.563,39.87,2.0
78,0.3486,0.1186,7.544,4.789,2.771,39.11,2.0
79,0.3661,0.1191,7.681,4.784,2.952,38.31,2.0
80,0.3831,0.1196,7.795,4.825,3.03,37.47,2.0
81,0.3994,0.1201,7.854,4.853,3.063,36.62,2.0
82,0.4152,0.1206,7.884,4.872,3.074,35.77,2.0
83,0.4304,0.1211,7.92,4.883,3.1,34.93,2.0
84,0.4451,0.1216,7.916,4.728,3.258,34.11,2.0
85,0.4589,0.1221,8.099,4.896,3.275,33.27,2.0
86,0.4726,0.1226,8.045,4.758,3.36,32.47,2.0
87,0.4858,0.1232,7.545,4.447,3.18,31.67,2.0
88,0.4985,0.1237,7.333,4.468,3.133,30.88,2.0
89,0.509,0.1242,7.004,4.656,2.391,30.12,2.0
90,0.5176,0.1246,6.047,4.664,1.434,29.37,2.0
91,0.525,0.125,5.142,4.528,0.722,28.66,2.0
92,0.5347,0.1253,3.666,3.124,0.681,27.91,2.0
93,0.5468,0.1256,3.843,3.136,0.836,27.1,2.0
94,0.5611,0.1258,4.613,3.842,0.915,26.27,2.0
95,0.5774,0.126,1.556,0.0,1.384,25.44,2.0
96,0.6016,0.126,2.813,0.0,2.673,24.64,2.0
97,0.6453,0.126,2.775,0.0,2.64,23.9,2.0
98,0.7067,0.1259,2.491,0.0,2.359,23.18,2.0
99,0.7803,0.1255,3.853,0.0,3.723,22.85,2.0
100,0.8556,0.1244,7.13,0.0,6.999,23.03,2.0
101,0.9221,0.1232,8.05,0.0,7.915,23.36,2.0
102,0.9648,0.122,8.189,0.0,8.056,23.7,2.0
103,0.9736,0.1211,8.479,0.0,8.342,24.03,2.0
104,0.944,0.1204,8.711,0.0,8.576,24.35,2.0
105,0.8779,0.1201,7.602,0.0,7.469,24.61,2.0
106,0.7846,0.1202,6.361,0.0,6.237,24.81,2.0
107,0.6773,0.1206,4.411,0.0,7.078,24.95,2.0
108,0.6724,0.1202,6.334,0.0,8.748,25.49,2.0
109,0.6742,0.1197,3.479,0.0,3.461,26.14,2.0
110,0.6769,0.1192,6.597,0.0,8.01,26.71,2.0
111,0.6792,0.1187,5.397,0.0,6.775,27.29,2.0
112,0.6825,0.1181,6.093,0.0,7.504,27.83,2.0
113,0.6853,0.1176,5.512,0.0,6.907,28.37,2.0
114,0.6885,0.1172,5.543,0.0,6.963,28.93,2.0
115,0.6924,0.1167,5.183,0.0,6.605,29.43,2.0
116,0.6962,0.1163,4.997,0.0,6.451,29.92,2.0
117,0.7001,0.1159,4.493,0.0,5.922,30.41,2.0
118,0.704,0.1155,4.378,0.0,5.855,30.87,2.0
119,0.7087,0.1151,3.912,0.0,5.202,31.33,2.0
120,0.7119,0.1146,3.58,0.0,4.853,31.78,2.0
121,0.7175,0.1142,2.751,0.0,3.922,32.22,2.0
122,0.7232,0.1137,2.735,0.0,3.792,32.64,2.0
123,0.732,0.113,0.0,0.0,0.198,33.07,2.0
124,0.7527,0.1109,0.0,0.0,0.0,33.38,2.0
125,0.7738,0.105,0.0,0.0,0.0,33.82,2.0
126,0.7941,0.0951,0.0,0.0,0.0,34.33,2.0
127,0.8134,0.0813,0.0,0.0,0.0,35.08,2.0
128,0.8318,0.0636,0.0,0.0,0.0,35.85,2.0
129,0.8291,0.0475,0.0,0.0,0.0,36.59,2.0
130,0.7508,0.0457,0.0,0.0,0.0,37.27,2.0
131,0.6443,0.0418,0.0,0.0,0.0,37.88,2.0
132,0.4961,0.0357,0.0,0.0,0.0,38.41,2.0
133,0.294,0.0267,0.0,0.0,0.0,38.73,2.0
134,0.0327,0.0142,0.0,0.0,0.0,38.92,2.0
135,-0.0056,0.0118,0.0,0.0,0.0,39.1,2.0
136,-0.0006,0.0124,0.0,0.0,0.0,39.26,2.0
137,-0.0001,0.0125,0.0,0.0,0.0,39.42,2.0
138,-0.0,0.0125,0.0,0.0,0.0,39.56,2.0
139,-0.0,0.0125,0.0,0.0,0.0,39.7,2.0
140,-0.0,0.0125,0.0,0.0,0.0,39.82,2.0
141,-0.0,0.0125,0.0,0.0,0.0,39.93,2.0
142,-0.0,0.0125,0.0,0.0,0.0,40.03,2.0
143,-0.0,0.0125,0.0,0.0,0.0,40.11,2.0
144,-0.0,0.0125,0.0,0.0,0.0,40.19,2.0
145,-0.0,0.0125,0.0,0.0,0.0,40.25,2.0
146,-0.0,0.0125,0.0,0.0,0.0,40.3,2.0
147,-0.0,0.0125,0.0,0.0,0.0,40.35,2.0
148,-0.0,0.0125,0.0,0.0,0.0,40.37,2.0
149,-0.0,0.0125,0.0,0.0,0.0,40.39,2.0
150,-0.0,0.0125,0.0,0.0,0.0,40.4,2.0
151,-0.0,0.0125,0.0,0.0,0.0,40.4,2.0
152,-0.0,0.0125,0.0,0.0,0.0,40.4,2.0
153,-0.0,0.0125,0.0,0.0,0.0,40.4,2.0
154,-0.0,0.0125,0.0,0.0,0.0,40.4,2.0
155,-0.0,0.0125,0.0,0.0,0.0,40.4,2.0
156,-0.0,0.0125,0.0,0.0,0.0,40.4,2.0
157,-0.0,0.0125,0.0,0.0,0.0,40.4,2.0
158,0.0,0.0125,0.0,0.0,0.0,40.4,2.0
159,-0.0,0.0125,0.0,0.0,0.0,40.4,2.0
160,0.0,0.0125,0.0,0.0,0.0,40.4,2.0
161,-0.0,0.0125,0.0,0.0,0.0,40.4,2.0
162,-0.0,0.0125,0.0,0.0,0.0,40.4,2.0
163,-0.0,0.0125,0.0,0.0,0.0,40.4,2.0
164,-0.0,0.0125,0.0,0.0,0.0,40.4,2.0
165,-0.0,0.0125,0.0,0.0,0.0,40.4,2.0
166,-0.0,0.0125,0.0,0.0,0.0,40.4,2.0
167,-0.0,0.0125,0.0,0.0,0.0,40.4,2.0
168,-0.0,0.0125,0.0,0.0,0.0,40.4,2.0
169,-0.0,0.0125,0.0,0.0,0.0,40.4,2.0
170,0.0,0.0125,0.0,0.0,0.0,40.4,2.0
171,0.0,0.0125,0.0,0.0,0.0,40.4,2.0
172,-0.0,0.0125,0.0,0.0,0.0,40.4,2.0
173,-0.0,0.0125,0.0,0.0,0.0,40.4,2.0
174,-0.0,0.0125,0.0,0.0,0.0,40.4,2.0
175,-0.0,0.0125,0.0,0.0,0.0,40.4,2.0
176,-0.0,0.0125,0.0,0.0,0.0,40.4,2.0
177,0.0,0.0125,0.0,0.0,0.0,40.4,2.0
178,-0.0,0.0125,0.0,0.0,0.0,40.4,2.0
179,-0.0,0.0125,0.0,0.0,0.0,40.4,2.0
180,-0.0,0.0125,0.0,0.0,0.0,40.4,2.0
181,-0.0,0.0125,0.0,0.0,0.0,40.4,2.0
182,-0.0,0.0125,0.0,0.0,0.0,40.4,2.0
183,-0.0,0.0125,0.0,0.0,0.0,40.4,2.0
184,-0.0,0.0125,0.0,0.0,0.0,40.4,2.0
185,-0.0,0.0125,0.0,0.0,0.0,40.4,2.0
186,-0.0,0.0125,0.0,0.0,0.0,40.4,2.0
187,-0.0,0.0125,0.0,0.0,0.0,40.4,2.0
188,-0.0,0.0125,0.0,0.0,0.0,40.4,2.0
189,-0.0,0.0125,0.0,0.0,0.0,40.4,2.0
190,-0.0,0.0125,0.0,0.0,0.0,40.4,2.0
191,-0.0,0.0125,0.0,0.0,0.0,40.4,2.0
192,0.0,0.0125,0.0,0.0,0.0,40.4,2.0
193,0.0,0.0125,0.0,0.0,0.0,40.4,2.0
194,0.0,0.0125,0.0,0.0,0.0,40.4,2.0
195,-0.0,0.0125,0.0,0.0,0.0,40.4,2.0
196,-0.0,0.0125,0.0,0.0,0.0,40.4,2.0
197,-0.0,0.0125,0.0,0.0,0.0,40.4,2.0
198,0.0,0.0125,0.0,0.0,0.0,40.4,2.0
199,0.0,0.0125,0.0,0.0,0.0,40.4,2.0
200,0.0,0.0125,0.0,0.0,0.0,40.4,2.0
201,0.0,0.0125,0.0,0.0,0.0,40.4,2.0
202,-0.0,0.0125,0.0,0.0,0.0,40.4,2.0
203,-0.0,0.0125,0.0,0.0,0.0,40.4,2.0
204,0.0,0.0125,0.0,0.0,0.0,40.4,2.0
205,0.0,0.0125,0.0,0.0,0.0,40.4,2.0
206,0.0,0.0125,0.0,0.0,0.0,40.4,2.0
207,0.0,0.0125,0.0,0.0,0.0,40.4,2.0
208,-0.0,0.0125,0.0,0.0,0.0,40.4,2.0
209,-0.0,0.0125,0.0,0.0,0.0,40.4,2.0
210,-0.0,0.0125,0.0,0.0,0.0,40.4,2.0
211,-0.0,0.0125,0.0,0.0,0.0,40.4,2.0
212,-0.0,0.0125,0.0,0.0,0.0,40.4,2.0
213,-0.0,0.0125,0.0,0.0,0.0,40.4,2.0
214,-0.0,0.0125,0.0,0.0,0.0,40.4,2.0
215,-0.0,0.0125,0.0,0.0,0.0,40.4,2.0
216,-0.0,0.0125,0.0,0.0,0.0,40.4,2.0
217,-0.0,0.0125,0.0,0.0,0.0,40.4,2.0
218,0.0,0.0125,0.0,0.0,0.0,40.4,2.0
219,0.0,0.0125,0.0,0.0,0.0,40.4,2.0
220,0.0,0.0125,0.0,0.0,0.0,40.4,2.0
221,-0.0,0.0125,0.0,0.0,0.0,40.4,2.0
222,-0.0,0.0125,0.0,0.0,0.0,40.4,2.0
223,-0.0,0.0125,0.0,0.0,0.0,40.4,2.0
224,-0.0,0.0125,0.0,0.0,0.0,40.4,2.0
225,-0.0,0.0125,0.0,0.0,0.0,40.4,2.0
226,-0.0,0.0125,0.0,0.0,0.0,40.4,2.0
227,-0.0,0.0125,0.0,0.0,0.0,40.4,2.0
228,-0.0,0.0125,0.0,0.0,0.0,40.4,2.0
229,-0.0,0.0125,0.0,0.0,0.0,40.4,2.0
230,-0.0,0.0125,0.0,0.0,0.0,40.4,2.0
231,-0.0,0.0125,0.0,0.0,0.0,40.4,2.0
232,0.0,0.0125,0.0,0.0,0.0,40.4,2.0
233,-0.0,0.0125,0.0,0.0,0.0,40.4,2.0
234,-0.0,0.0125,0.0,0.0,0.0,40.4,2.0
235,-0.0,0.0125,0.0,0.0,0.0,40.4,2.0
236,0.0,0.0125,0.0,0.0,0.0,40.4,2.0
237,0.0,0.0125,0.0,0.0,0.0,40.4,2.0
238,-0.0,0.0125,0.0,0.0,0.0,40.4,2.0
239,-0.0,0.0125,0.0,0.0,0.0,40.4,2.0
240,-0.0,0.0125,0.0,0.0,0.0,40.4,2.0
241,-0.0,0.0125,0.0,0.0,0.0,40.4,2.0
242,-0.0,0.0125,0.0,0.0,0.0,40.4,2.0
243,0.0,0.0125,0.0,0.0,0.0,40.4,2.0
244,-0.0,0.0125,0.0,0.0,0.0,40.4,2.0
245,-0.0,0.0125,0.0,0.0,0.0,40.4,2.0
246,-0.0,0.0125,0.0,0.0,0.0,40.4,2.0
247,0.0,0.0125,0.0,0.0,0.0,40.4,2.0
248,-0.0,0.0125,0.0,0.0,0.0,40.4,2.0
249,-0.0,0.0125,0.0,0.0,0.0,40.4,2.0
