candidate_id,scene_xml,selected_foundational_pose,feasible_rule,feasible,feasible_pose_count,foundational_pose_count,score,cube_lift,cube_tip_contacts,mean_tip_distance,cube_vel_norm,thumb_x,thumb_y,thumb_len,index_x,index_y,index_len,middle_x,middle_y,middle_len
109,/home/humanoid/Programs/hand/results/phase1/run_20260413_pollard_block/generated_mjcf/scene_tp0d0014p0d0265p0d0051_ip0d0062n0d0086p0d0104_mp0d0144p0d0121p0d0099.xml,phase1_generated_scene,any,True,2.0,2.0,2.8883147588305516,0.049250156046969876,3.0,0.009274298139933447,0.11261404355684847,0.0013713010998067932,0.026522534647037528,0.00508531914060183,0.006215120944035642,-0.0085715723855087,0.010446457471225783,0.014435441034388851,0.012115233654059249,0.009858199929202283
110,/home/humanoid/Programs/hand/results/phase1/run_20260413_pollard_block/generated_mjcf/scene_tp0d0079p0d0285p0d0000_ip0d0050n0d0053p0d0000_mn0d0002p0d0197p0d0072.xml,sanity_phase1,any,True,2.0,2.0,2.9345169416762356,0.05006716953953306,3.0,0.008699232600046703,0.0029035133821890156,0.007862980625476145,0.028524410246412026,0.0,0.004979892007376512,-0.005336932736155145,0.0,-0.0002310575466114538,0.019698384299342057,0.007182478955496934
111,/home/humanoid/Programs/hand/results/phase1/run_20260413_pollard_block/generated_mjcf/scene_tp0d0034p0d0163p0d0014_in0d0015n0d0108p0d0086_mn0d0001p0d0125p0d0000.xml,sanity_phase1,any,True,2.0,2.0,2.920034005317272,0.050313933524843965,3.0,0.00868510020400344,0.15722311762839686,0.003402427395368751,0.01627624007420011,0.0014345596552211674,-0.0014835211652609488,-0.010796120261926605,0.008563228193161875,-0.00012672235965031746,0.012499665517147967,0.0
112,/home/humanoid/Programs/hand/results/phase1/run_20260413_pollard_block/generated_mjcf/scene_tn0d0029p0d0083p0d0079_ip0d0099n0d0138p0d0024_mp0d0184p0d0103p0d0000.xml,sanity_phase1,any,True,1.0,2.0,2.3168461274514627,0.043968334076624885,2.0,0.01102278261308884,2.8201709902934687e-11,-0.0028798104808018445,0.008312184160997247,0.00786631007594749,0.00990983944819043,-0.01383796642650531,0.00244307317527483,0.018400676902117614,0.010290257395785304,0.0
113,/home/humanoid/Programs/hand/results/phase1/run_20260413_pollard_block/generated_mjcf/scene_tn0d0108p0d0144p0d0000_in0d0010n0d0110p0d0000_mn0d0002p0d0253p0d0000.xml,sanity_phase1,any,True,2.0,2.0,1.2746732576737185,0.040471853536094324,2.0,0.009676783355180053,6.149920329194818,-0.010812139014908118,0.014393578249598981,0.0,-0.0010025963078267048,-0.011034466506951189,0.0,-0.00021781467042988716,0.025301153793920166,0.0
114,/home/humanoid/Programs/hand/results/phase1/run_20260413_pollard_block/generated_mjcf/scene_tn0d0097p0d0300p0d0040_ip0d0154n0d0108p0d0000_mp0d0182p0d0133p0d0000.xml,phase1_generated_scene,any,True,1.0,2.0,2.2653899692835306,0.042772348691668696,2.0,0.011531003264178023,0.05720152264345367,-0.009724061022624773,0.03,0.0040072071336392685,0.015418097000075947,-0.010783104100315308,0.0,0.018205053769901072,0.013332696100926186,0.0
115,/home/humanoid/Programs/hand/results/phase1/run_20260413_pollard_block/generated_mjcf/scene_tn0d0088p0d0107p0d0005_ip0d0116n0d0119p0d0027_mp0d0191p0d0154p0d0000.xml,sanity_phase1,any,True,1.0,2.0,2.1589006760279053,0.03946863805539352,2.0,0.011250827784544963,2.2785201937192045e-09,-0.008752578143894657,0.010717277259950732,0.0005339023898471625,0.011649846149658704,-0.011851546974094098,0.0027149922709011447,0.019063443114098563,0.015400916278669291,0.0
116,/home/humanoid/Programs/hand/results/phase1/run_20260413_pollard_block/generated_mjcf/scene_tn0d0058p0d0154p0d0015_ip0d0171n0d0137p0d0000_mp0d0025p0d0055p0d0000.xml,phase1_generated_scene,any,False,0.0,2.0,-0.0343731501953054,6.019490461639521e-15,0.0,0.017186575097757974,9.051548097513458e-16,-0.005842255138069734,0.015364319418918195,0.0014593692806168217,0.01708893618799274,-0.01371309528163105,0.0,0.002515708089826485,0.00547565360219901,0.0
117,/home/humanoid/Programs/hand/results/phase1/run_20260413_pollard_block/generated_mjcf/scene_tp0d0044p0d0222p0d0039_ip0d0089n0d0217p0d0000_mp0d0103p0d0152p0d0000.xml,sanity_phase1,any,True,2.0,2.0,2.8789872460131023,0.049010310367087896,3.0,0.009145050887506717,0.12055676706640599,0.004425039793702623,0.022177153565716874,0.0038910621589977774,0.00891028314209102,-0.02166526711317343,0.0,0.010263051494114807,0.015231959161743686,0.0
118,/home/humanoid/Programs/hand/results/phase1/run_20260413_pollard_block/generated_mjcf/scene_tp0d0078p0d0184p0d0083_ip0d0044n0d0017p0d0000_mp0d0165p0d0038p0d0000.xml,sanity_phase1,any,True,2.0,2.0,2.8876805252167284,0.049094252400351014,3.0,0.009417795205316173,0.07855145589949905,0.007807237396004606,0.01839952006368896,0.008290947003856325,0.004371823127956276,-0.0016934499390448814,0.0,0.016460379772354136,0.0037844748722332625,0.0
119,/home/humanoid/Programs/hand/results/phase1/run_20260413_pollard_block/generated_mjcf/scene_tp0d0089p0d0164p0d0104_ip0d0203n0d0051p0d0000_mp0d0186p0d0143p0d0000.xml,phase1_generated_scene,any,True,1.0,2.0,2.076535845585121,0.03712708277588851,2.0,0.011456025648385873,1.8280366043108863e-09,0.008893279303444638,0.01640251999547089,0.010379507833410868,0.020306008014948564,-0.005095378154555871,0.0,0.01859844408246346,0.014270504086291665,0.0
