iteration,iter_best_score,iter_mean_score,elite_mean_score,best_score_so_far,best_cube_lift_so_far,best_contacts_so_far,mean_sigma
0.0,-0.05860942501310764,-0.05860942501310764,-0.04846055805683136,-0.05860942501310764,0.0,0.0,326837.1875
1.0,-0.07604023038888029,-0.07604023038888029,-0.12553907930850983,-0.05860942501310764,0.0,0.0,143331056.0
2.0,-0.06502241260994907,-0.06502241260994907,-0.13604888319969177,-0.05860942501310764,0.0,0.0,32303.1953125
3.0,-0.06598994000849018,-0.06598994000849018,-0.09888412058353424,-0.05860942501310764,0.0,0.0,1026200829952.0
4.0,1.1470623278210066,1.1470623278210066,-0.0976676493883133,1.1470623278210066,0.022655479373146315,1.0,9638377984884736.0
5.0,1.1470623278210066,1.1470623278210066,0.06755068898200989,1.1470623278210066,0.022655479373146315,1.0,inf
6.0,1.0412323401100039,1.0412323401100039,0.06755068898200989,1.1470623278210066,0.022655479373146315,1.0,1.763583995457359e+19
7.0,-0.49392113496777645,-0.49392113496777645,0.10309833288192749,1.1470623278210066,0.022655479373146315,1.0,nan
8.0,-0.49392113496777645,-0.49392113496777645,nan,1.1470623278210066,0.022655479373146315,1.0,nan
9.0,-0.49392113496777645,-0.49392113496777645,nan,1.1470623278210066,0.022655479373146315,1.0,nan
10.0,-0.49392113496777645,-0.49392113496777645,nan,1.1470623278210066,0.022655479373146315,1.0,nan
11.0,-0.49392113496777645,-0.49392113496777645,nan,1.1470623278210066,0.022655479373146315,1.0,nan
