step,cos,z,f_thumb,f_index,f_middle,clearance_mm,act_absmax
0,0.0017,0.0124,6.6,12.316,0.0,60.2,2.0
1,0.0011,0.0124,1.639,5.697,0.0,60.2,2.0
2,0.001,0.0124,0.0,5.592,0.0,60.2,2.0
3,0.0009,0.0124,0.0,5.148,0.393,60.2,2.0
4,0.0007,0.0124,0.0,4.173,0.997,60.19,2.0
5,0.0003,0.0124,0.0,3.606,1.405,60.18,2.0
6,0.0002,0.0124,0.0,3.33,1.513,60.16,2.0
7,0.0001,0.0124,0.332,3.25,1.556,60.14,2.0
8,0.0002,0.0124,0.585,3.367,1.537,60.13,2.0
9,0.0002,0.0124,0.806,3.527,1.42,60.13,2.0
10,0.0003,0.0124,1.005,3.683,1.281,60.12,2.0
11,0.0004,0.0124,1.192,3.826,1.151,60.11,2.0
12,0.0004,0.0124,1.373,3.951,1.036,60.11,2.0
13,0.0005,0.0124,1.557,4.051,0.945,60.1,2.0
14,0.0005,0.0124,1.731,4.073,0.911,60.09,2.0
15,0.0005,0.0124,1.903,4.073,0.895,60.09,2.0
16,0.0005,0.0124,2.071,4.078,0.882,60.08,2.0
17,0.0005,0.0124,2.236,4.088,0.867,60.07,2.0
18,0.0005,0.0124,2.395,4.094,0.854,60.06,2.0
19,0.0004,0.0124,2.561,3.953,0.94,60.05,2.0
20,0.0004,0.0124,2.698,3.847,1.007,60.03,2.0
21,0.0004,0.0124,2.835,3.794,1.036,60.02,2.0
22,0.0003,0.0124,2.973,3.646,1.129,60.01,2.0
23,0.0003,0.0124,3.089,3.544,1.188,60.0,2.0
24,-0.0013,0.0149,1.003,0.687,0.51,60.02,2.0
25,-0.0011,0.0234,0.783,0.508,0.376,60.04,2.0
26,-0.0002,0.0344,0.828,0.529,0.365,60.04,2.0
27,0.0007,0.0463,0.927,0.577,0.38,60.04,2.0
28,0.0017,0.0585,0.985,0.611,0.397,60.05,2.0
29,0.0026,0.0709,1.012,0.628,0.407,60.05,2.0
30,0.0036,0.0833,1.02,0.635,0.409,60.06,2.0
31,0.0045,0.0958,1.02,0.636,0.407,60.06,2.0
32,0.0057,0.1049,1.644,1.034,0.669,60.1,2.0
33,0.0071,0.1084,1.416,0.983,0.431,60.14,2.0
34,0.0083,0.1096,1.187,0.857,0.361,60.16,2.0
35,0.0093,0.11,1.068,0.794,0.317,60.18,2.0
36,0.0104,0.1101,1.019,0.755,0.298,60.19,2.0
37,0.0113,0.1102,0.997,0.736,0.292,60.19,2.0
38,0.0123,0.1101,0.984,0.734,0.282,60.2,2.0
39,0.0133,0.1101,0.979,0.728,0.282,60.2,2.0
40,0.0142,0.11,0.977,0.717,0.291,60.21,2.0
41,0.0151,0.11,0.975,0.713,0.293,60.21,2.0
42,0.016,0.11,0.97,0.711,0.292,60.22,2.0
43,0.0169,0.1099,0.968,0.707,0.293,60.22,2.0
