iteration,iter_best_score,iter_mean_score,elite_mean_score,best_score_so_far,best_cube_lift_so_far,best_contacts_so_far,mean_sigma,iteration_seconds
0.0,5.703267928905523,0.5019285249924209,1.9286878875401487,5.703267928905523,0.04896428050450954,3.0,0.1834628659485828,0.8564304139581509
1.0,7.14217567389387,1.4703054295474252,4.727760790480146,7.14217567389387,0.046673299342967364,6.0,0.1529506771296732,0.9211315719876438
2.0,7.145436771180001,3.0920134412493163,6.4637561528563,7.145436771180001,0.04730115234022651,6.0,0.12674329049227706,1.0152915919898078
3.0,7.275398208142163,4.682544991481844,6.921295142948734,7.275398208142163,0.05005298754746122,6.0,0.12629138855519134,1.048996473022271
4.0,7.254444758452807,5.490675398497063,7.079612147000832,7.275398208142163,0.05005298754746122,6.0,0.10924442841009419,1.1022921659750864
5.0,7.2764879426841516,6.239844878940308,7.224372344487443,7.2764879426841516,0.049673987946399364,6.0,0.08379498952082774,1.1712959919823334
6.0,7.279952513257774,6.852029895613318,7.2515316737922815,7.279952513257774,0.0501891187600273,6.0,0.061815793863818934,1.2118355419952422
7.0,7.309450186787064,7.109572899735373,7.275655894441307,7.309450186787064,0.0509998473904571,6.0,0.047964708023420344,1.2262508610147052
8.0,7.294536367442138,7.024770789177538,7.279736995396339,7.309450186787064,0.0509998473904571,6.0,0.0406380556155745,1.1838138799648732
9.0,7.290805077779925,7.1343208208604745,7.283676049980825,7.309450186787064,0.0509998473904571,6.0,0.024713772502224163,1.221890410000924
10.0,7.2965439049513225,7.1699236820533985,7.292038654221709,7.309450186787064,0.0509998473904571,6.0,0.019021448418916804,1.2114838669658639
11.0,7.299650320107273,7.169553463511223,7.2938422672289525,7.309450186787064,0.0509998473904571,6.0,0.016278200207068962,1.2012682300410233
12.0,7.302235328147268,7.2261282135662,7.297831560536115,7.309450186787064,0.0509998473904571,6.0,0.015142968776064157,1.192474804003723
13.0,7.301667003280767,7.165386854959225,7.299265448638468,7.309450186787064,0.0509998473904571,6.0,0.012787976066318481,1.1784285319736227
14.0,7.303078292694524,7.143969744974637,7.300193855024694,7.309450186787064,0.0509998473904571,6.0,0.010659570654801498,1.2104624100029469
15.0,7.3025606006293495,7.183569662596641,7.300600077549743,7.309450186787064,0.0509998473904571,6.0,0.009283831988074224,1.193438628979493
16.0,7.303641833824509,7.193350275338667,7.3012467574470445,7.309450186787064,0.0509998473904571,6.0,0.007717918537869077,1.2029728820198216
17.0,7.304781674340086,7.190416360723274,7.302277786428472,7.309450186787064,0.0509998473904571,6.0,0.006238690229155088,1.199452041008044
18.0,7.304470565422791,7.194693759306882,7.302589027105933,7.309450186787064,0.0509998473904571,6.0,0.005532936914508085,1.1978423959808424
19.0,7.305162828516349,7.095987340428819,7.303564810607165,7.309450186787064,0.0509998473904571,6.0,0.004546986736186581,1.1964743579737842
20.0,7.304486869013949,7.064116739302453,7.302445475330226,7.309450186787064,0.0509998473904571,6.0,0.004186135270227046,1.194268638966605
21.0,7.304069012735583,7.091014622185368,7.3029669382450475,7.309450186787064,0.0509998473904571,6.0,0.004048183953557809,1.1919700900325552
22.0,7.305269489847567,7.186404214647193,7.303463476518879,7.309450186787064,0.0509998473904571,6.0,0.004252760180140559,1.1903378600254655
23.0,7.304956644941372,7.152089721597842,7.303651606194346,7.309450186787064,0.0509998473904571,6.0,0.0041185042394447985,1.2149022489902563
24.0,7.306126178174072,7.192771962551941,7.304098628329902,7.309450186787064,0.0509998473904571,6.0,0.003322723619794504,1.1767651669797488
25.0,7.305256954154344,7.14788392413653,7.30465620866414,7.309450186787064,0.0509998473904571,6.0,0.0028233438300639055,1.1844019970158115
26.0,7.30579865002601,7.110308056657739,7.304773391382285,7.309450186787064,0.0509998473904571,6.0,0.002520706432774902,1.1807025639573112
27.0,7.306092367164327,7.167030420716895,7.304564522305187,7.309450186787064,0.0509998473904571,6.0,0.0019642889726708855,1.1781821579788812
28.0,7.305885772192132,7.148308543203644,7.304150847510553,7.309450186787064,0.0509998473904571,6.0,0.0018160272139406432,1.1799332450027578
29.0,7.305888236207802,7.141076331135616,7.304408906071714,7.309450186787064,0.0509998473904571,6.0,0.0017501786290579106,1.1756893260171637
30.0,7.306101702212654,7.143038277408193,7.304696807247907,7.309450186787064,0.0509998473904571,6.0,0.0016526448531657353,1.17720882804133
31.0,7.304571120608015,7.11978477771922,7.303960433008833,7.309450186787064,0.0509998473904571,6.0,0.0015731415083849731,1.178896634024568
32.0,7.306274411465317,7.106091973349964,7.304679610930667,7.309450186787064,0.0509998473904571,6.0,0.0015099804354676014,1.1909716530353762
33.0,7.306069944904266,7.1736335396146025,7.304851320965204,7.309450186787064,0.0509998473904571,6.0,0.0014506042021697964,1.1896639569895342
34.0,7.306600861687998,7.159388562233698,7.305053396304486,7.309450186787064,0.0509998473904571,6.0,0.0014469821158031781,1.199493939988315
35.0,7.3062123841555815,7.167244788832268,7.304724461755399,7.309450186787064,0.0509998473904571,6.0,0.0014130501098072274,1.187681999988854
36.0,7.306153395293694,7.221869303835275,7.3048817407450235,7.309450186787064,0.0509998473904571,6.0,0.0013568407371471508,1.1814377429545857
37.0,7.305893716139697,7.236747897808133,7.305176876800817,7.309450186787064,0.0509998473904571,6.0,0.0013198959035569402,1.1895527410088107
38.0,7.306152192175684,7.1789028021601915,7.3046050433829555,7.309450186787064,0.0509998473904571,6.0,0.001277445747425972,1.1821993269841187
39.0,7.306073361369215,7.211909721796492,7.305089701218933,7.309450186787064,0.0509998473904571,6.0,0.0011123890174845395,1.1879469970008358
