iteration,iter_best_score,iter_mean_score,elite_mean_score,best_score_so_far,best_cube_lift_so_far,best_contacts_so_far,mean_sigma
0.0,1.4119735627568886,1.4119735627568886,-0.01488465815782547,1.4119735627568886,0.029577709430790584,1.0,80.46990966796875
1.0,1.4119735627568886,1.4119735627568886,0.40589439868927,1.4119735627568886,0.029577709430790584,1.0,inf
2.0,1.4119735627568886,1.4119735627568886,0.40589439868927,1.4119735627568886,0.029577709430790584,1.0,inf
3.0,1.4119735627568886,1.4119735627568886,0.40589439868927,1.4119735627568886,0.029577709430790584,1.0,inf
4.0,1.4119735627568886,1.4119735627568886,0.40589439868927,1.4119735627568886,0.029577709430790584,1.0,inf
5.0,1.4119735627568886,1.4119735627568886,0.40589439868927,1.4119735627568886,0.029577709430790584,1.0,inf
6.0,1.4119735627568886,1.4119735627568886,0.40589439868927,1.4119735627568886,0.029577709430790584,1.0,inf
7.0,1.4119735627568886,1.4119735627568886,0.40589439868927,1.4119735627568886,0.029577709430790584,1.0,inf
8.0,1.4119735627568886,1.4119735627568886,0.40589439868927,1.4119735627568886,0.029577709430790584,1.0,inf
9.0,1.4119735627568886,1.4119735627568886,0.40589439868927,1.4119735627568886,0.029577709430790584,1.0,inf
10.0,1.4119735627568886,1.4119735627568886,0.40589439868927,1.4119735627568886,0.029577709430790584,1.0,inf
11.0,1.4119735627568886,1.4119735627568886,0.40589439868927,1.4119735627568886,0.029577709430790584,1.0,inf
