step,cos,z,f_thumb,f_index,f_middle
133,0.8358,0.1237,9.977,5.76,5.362
134,0.8435,0.1236,10.115,5.841,5.44
135,0.8508,0.1235,9.993,5.974,5.581
136,0.858,0.1234,9.568,6.355,5.029
137,0.8649,0.1234,8.615,7.247,3.042
138,0.8731,0.1233,8.756,4.313,4.938
139,0.8801,0.1233,8.091,7.092,2.944
140,0.8882,0.1232,8.977,4.844,4.929
141,0.8953,0.1232,7.783,6.561,2.891
142,0.9034,0.1231,8.466,4.128,4.553
143,0.9105,0.1231,7.881,6.156,2.686
144,0.9176,0.1231,7.15,4.14,4.028
145,0.9246,0.1231,6.998,4.566,2.995
146,0.9312,0.1231,6.144,3.827,2.625
147,0.9376,0.1231,7.562,4.85,2.837
148,0.9436,0.1231,5.262,2.479,2.683
149,0.945,0.1231,6.528,3.081,3.594
150,0.9447,0.1233,5.457,3.172,2.823
151,0.9471,0.1232,7.134,3.477,3.906
152,0.9523,0.1233,5.03,2.223,2.743
153,0.9521,0.1234,6.355,3.035,3.504
154,0.9519,0.1235,5.981,3.438,2.876
155,0.9573,0.1235,5.878,2.478,3.396
156,0.9578,0.1236,5.397,2.84,2.692
157,0.9574,0.1238,6.179,2.611,3.502
158,0.9568,0.124,4.709,2.461,2.509
159,0.9591,0.124,5.522,2.826,2.773
160,0.9634,0.1241,4.349,1.601,2.64
161,0.9653,0.1241,6.056,3.294,2.844
162,0.966,0.1243,4.732,2.257,2.554
163,0.966,0.1244,6.852,3.783,3.558
164,0.9657,0.1245,5.43,2.655,2.92
165,0.9665,0.1246,7.22,3.987,3.308
166,0.9656,0.1247,5.182,2.681,2.731
167,0.9636,0.1245,5.983,3.762,2.977
168,0.9672,0.1247,4.572,1.708,2.754
169,0.967,0.1248,5.452,2.697,2.908
170,0.9652,0.1249,5.322,2.837,2.8
171,0.9634,0.1248,4.936,3.061,2.694
172,0.9668,0.125,5.149,2.403,2.761
173,0.9663,0.1251,5.929,2.87,3.2
174,0.965,0.1251,6.803,4.008,3.502
175,0.9667,0.1251,6.193,3.17,3.287
176,0.9659,0.1252,6.521,3.432,3.45
177,0.9629,0.1249,5.041,3.406,2.987
178,0.9656,0.1249,5.589,2.756,2.879
179,0.9652,0.125,5.88,3.081,3.121
180,0.965,0.1252,6.426,2.85,3.641
181,0.9646,0.1253,6.14,3.244,3.076
182,0.9665,0.1253,5.255,2.803,2.536
183,0.9667,0.1254,6.062,2.936,3.21
184,0.9639,0.1251,6.163,3.851,3.198
185,0.9664,0.1251,6.34,3.806,2.115
186,0.9665,0.1253,6.26,2.99,3.28
187,0.9644,0.1251,5.915,3.528,2.958
188,0.9664,0.125,6.085,3.798,1.69
189,0.9662,0.1252,6.203,3.346,2.597
190,0.9633,0.1249,6.94,4.084,3.579
191,0.9652,0.125,6.599,3.448,2.396
192,0.9628,0.1249,7.513,4.109,3.9
193,0.9633,0.125,6.545,3.138,3.423
194,0.9624,0.1249,5.52,2.776,2.796
195,0.9624,0.125,7.67,3.495,3.582
196,0.963,0.1252,7.561,3.235,3.34
197,0.9627,0.1252,8.445,4.078,4.158
198,0.9654,0.1252,8.411,4.599,2.204
199,0.9648,0.1253,7.669,3.501,3.954
200,0.9648,0.1253,6.891,3.385,3.573
201,0.9636,0.1252,5.877,3.176,3.141
202,0.9654,0.1252,7.776,4.254,2.496
203,0.9646,0.1253,6.997,3.438,3.681
204,0.9632,0.1252,7.253,3.824,3.36
205,0.9657,0.1252,7.097,4.094,2.119
206,0.9684,0.1252,7.552,4.403,2.386
207,0.9684,0.1254,6.715,3.397,2.426
208,0.9651,0.1252,6.522,4.325,2.03
209,0.9665,0.1251,7.114,4.244,2.141
210,0.9681,0.1251,7.23,4.197,2.594
211,0.9683,0.1252,6.968,3.869,3.001
212,0.9657,0.125,7.305,4.64,2.224
213,0.9666,0.125,6.892,4.239,2.704
214,0.966,0.125,9.245,5.534,2.882
215,0.9663,0.1252,7.258,3.708,2.66
