step,cos,z,f_thumb,f_index,f_middle
0,-0.0,0.0123,0.0,0.0,0.0
1,0.0,0.0123,0.14,0.0,0.0
2,0.0,0.0123,0.238,0.201,0.0
3,0.0,0.0123,0.366,0.351,0.0
4,0.0007,0.0123,0.529,0.383,0.274
5,0.0008,0.0123,0.738,0.484,0.441
6,0.0007,0.0123,0.934,0.562,0.543
7,0.0006,0.0123,1.112,0.627,0.634
8,0.0005,0.0123,1.247,0.675,0.709
9,0.0004,0.0124,1.335,0.703,0.768
10,0.0008,0.0124,1.341,0.646,0.945
11,0.0006,0.0124,1.434,0.704,0.936
12,0.0003,0.0124,1.455,0.725,0.913
13,0.0001,0.0124,1.457,0.726,0.901
14,0.0006,0.0124,1.417,0.646,1.041
15,0.0004,0.0124,1.499,0.71,0.995
16,0.0001,0.0124,1.496,0.727,0.942
17,0.0007,0.0124,1.46,0.659,1.061
18,0.0004,0.0124,1.523,0.717,0.994
19,0.0005,0.0124,0.835,0.73,0.0
20,0.0008,0.0124,1.526,0.714,1.019
21,0.0006,0.0124,1.532,0.738,0.946
22,0.0012,0.0124,1.58,0.789,0.874
23,0.0015,0.0125,1.45,0.754,0.789
24,0.0017,0.0169,1.068,0.5,0.68
25,0.0038,0.0266,0.72,0.313,0.447
26,0.0041,0.0382,0.756,0.31,0.456
27,0.004,0.0503,0.865,0.351,0.512
28,0.0039,0.0627,1.004,0.408,0.59
29,0.0038,0.0752,1.129,0.459,0.663
30,0.0036,0.0877,1.225,0.497,0.721
31,0.0042,0.1001,1.232,0.513,0.732
32,0.0039,0.1082,2.139,0.846,1.342
33,0.0029,0.1109,2.612,1.115,1.502
34,0.0025,0.1118,2.505,1.365,1.141
35,0.0023,0.1122,2.165,1.195,0.973
36,0.0022,0.1123,1.895,1.047,0.854
37,0.0022,0.1123,1.73,0.957,0.78
38,0.0023,0.1123,1.632,0.905,0.735
39,0.0023,0.1123,1.574,0.874,0.707
40,0.0023,0.1123,1.539,0.839,0.707
41,0.0023,0.1123,1.517,0.805,0.717
42,0.0023,0.1123,1.503,0.79,0.718
43,0.0023,0.1123,1.494,0.786,0.713
44,0.0022,0.1123,1.489,0.784,0.709
45,0.0022,0.1123,1.486,0.784,0.706
46,0.0022,0.1123,1.483,0.783,0.704
47,0.0022,0.1123,1.481,0.783,0.702
48,0.0022,0.1123,1.48,0.779,0.704
49,0.0022,0.1123,1.479,0.777,0.705
50,0.0021,0.1123,1.478,0.775,0.706
51,0.0021,0.1123,1.478,0.774,0.706
52,0.0021,0.1123,1.477,0.771,0.709
53,0.002,0.1123,1.478,0.758,0.721
54,0.002,0.1123,1.478,0.761,0.718
55,0.0019,0.1123,1.478,0.76,0.719
56,0.0019,0.1123,1.477,0.759,0.718
57,0.0018,0.1123,1.477,0.759,0.718
58,0.0135,0.1124,2.131,0.322,1.822
59,0.0276,0.1124,2.18,1.081,1.444
60,0.0418,0.1124,2.757,1.759,1.669
61,0.0572,0.1124,2.288,1.622,1.214
62,0.0738,0.1124,3.065,2.28,1.656
63,0.0906,0.1124,3.845,2.555,1.73
64,0.1082,0.1125,3.324,2.302,1.545
65,0.1263,0.1126,3.982,2.756,1.493
66,0.1445,0.1128,5.028,3.515,1.932
67,0.1628,0.1129,5.056,3.564,1.78
68,0.1814,0.1131,5.095,3.636,1.637
69,0.2,0.1133,5.921,4.24,1.86
70,0.2185,0.1136,6.143,4.404,1.839
71,0.2368,0.1138,6.321,4.447,1.899
72,0.2549,0.1141,6.423,4.412,2.017
73,0.2721,0.1144,6.391,4.433,1.964
74,0.2883,0.1147,6.287,4.455,1.846
75,0.306,0.1151,5.527,3.334,2.188
76,0.3244,0.1155,6.147,2.298,3.846
77,0.3416,0.1159,6.408,2.468,3.882
78,0.3582,0.1163,6.558,2.621,3.858
79,0.3743,0.1167,6.62,2.735,3.81
80,0.3898,0.1171,6.625,2.823,3.753
81,0.4045,0.1175,6.596,2.891,3.701
82,0.4184,0.1179,6.546,2.938,3.659
83,0.4316,0.1184,6.887,3.241,3.628
84,0.4441,0.1188,7.152,3.484,3.648
85,0.4561,0.1193,7.618,3.909,3.673
86,0.4676,0.1197,8.058,4.307,3.714
87,0.4785,0.1201,8.031,4.217,3.807
88,0.4899,0.1205,8.677,4.075,4.568
89,0.5013,0.1209,9.241,4.514,4.708
90,0.512,0.1214,9.469,4.595,4.843
91,0.5221,0.1218,9.649,4.667,4.944
92,0.5303,0.1221,9.22,4.881,5.131
93,0.5387,0.1222,8.642,4.931,5.138
94,0.5486,0.122,7.193,3.335,5.528
95,0.5578,0.1217,5.985,3.458,3.753
96,0.5676,0.1214,5.433,3.259,3.315
97,0.578,0.1212,4.604,2.746,3.004
98,0.5896,0.121,4.222,2.68,2.712
99,0.6015,0.1209,3.913,2.983,2.311
100,0.6074,0.1208,4.317,3.472,2.425
101,0.6107,0.121,4.723,4.017,2.285
102,0.6141,0.1212,5.326,4.591,2.575
103,0.6227,0.1212,4.894,4.309,2.218
104,0.6275,0.1215,6.419,4.702,3.842
105,0.6322,0.1218,6.892,5.984,3.232
106,0.6387,0.1221,7.218,6.171,3.576
107,0.6461,0.1224,7.494,6.188,4.046
108,0.6537,0.1226,7.572,6.265,4.121
109,0.6612,0.1229,7.682,6.163,4.449
