step,cos,z,f_thumb,f_index,f_middle
133,0.686,0.1386,8.613,3.663,10.973
134,0.6856,0.1386,8.385,3.498,10.729
135,0.6853,0.1387,9.798,5.143,10.384
136,0.686,0.1387,7.979,4.613,10.5
137,0.6869,0.1387,10.456,6.635,10.362
138,0.6871,0.1388,7.776,3.479,10.713
139,0.6868,0.1388,9.314,4.391,10.645
140,0.6868,0.1389,8.038,3.324,10.696
141,0.6869,0.1389,8.93,3.889,10.828
142,0.6871,0.1389,8.585,3.769,10.657
143,0.6867,0.139,8.752,3.936,10.66
144,0.6865,0.139,8.542,3.744,10.688
145,0.6862,0.139,9.553,4.755,10.577
146,0.6872,0.139,10.124,5.564,10.261
147,0.6882,0.1391,8.473,4.242,10.375
148,0.6885,0.1392,7.456,3.756,10.7
149,0.6885,0.1392,8.596,3.724,10.779
150,0.6882,0.1392,8.521,3.561,10.725
151,0.6888,0.1392,9.411,4.819,10.626
152,0.6892,0.1392,9.406,4.372,10.217
153,0.6906,0.1392,9.834,4.769,10.291
154,0.6914,0.1391,10.314,6.501,9.95
155,0.6927,0.1392,10.403,6.952,10.046
156,0.6934,0.1392,9.92,7.104,9.748
157,0.6948,0.1392,9.898,5.746,10.122
158,0.6958,0.1392,10.251,6.5,10.003
159,0.6967,0.1392,8.821,4.694,10.191
160,0.6971,0.1392,8.821,4.71,10.237
161,0.6977,0.1392,10.212,5.845,10.196
162,0.6984,0.1393,9.955,6.673,9.836
163,0.699,0.1393,8.012,3.409,10.462
164,0.6994,0.1392,10.813,5.96,10.056
165,0.6994,0.1391,10.458,5.325,10.149
166,0.7007,0.1391,9.11,4.687,9.99
167,0.7017,0.1392,8.625,4.905,10.141
168,0.7024,0.1393,8.569,5.135,10.349
169,0.7028,0.1393,9.108,4.679,10.545
170,0.703,0.1394,9.15,5.075,10.304
171,0.7035,0.1394,8.435,4.76,10.465
172,0.7032,0.1394,9.814,4.803,10.54
173,0.7044,0.1394,9.031,4.431,10.283
174,0.7052,0.1395,9.942,6.259,10.202
175,0.7056,0.1395,9.362,4.432,10.557
176,0.7059,0.1394,11.039,5.802,10.322
177,0.706,0.1394,10.886,6.016,10.305
178,0.7071,0.1394,10.481,5.524,9.908
179,0.7085,0.1394,9.853,5.012,10.241
180,0.7091,0.1394,9.159,4.221,10.542
181,0.7097,0.1394,11.203,5.76,10.666
182,0.7104,0.1395,10.666,6.559,10.133
183,0.7113,0.1395,10.727,6.63,10.411
184,0.7117,0.1395,11.617,6.172,10.494
185,0.7125,0.1395,10.799,5.698,10.347
186,0.7129,0.1396,9.467,3.803,10.778
187,0.7125,0.1396,10.9,5.109,10.448
188,0.7135,0.1395,10.584,4.511,10.741
189,0.7132,0.1394,11.475,6.032,10.498
190,0.7139,0.1394,11.096,5.06,10.578
191,0.7137,0.1393,11.293,5.439,10.306
192,0.7137,0.1392,10.619,4.238,10.306
193,0.7122,0.139,10.43,4.34,9.87
194,0.7102,0.1389,11.135,5.095,9.502
195,0.709,0.1389,10.807,5.093,9.485
196,0.708,0.1388,10.866,5.017,9.345
197,0.7085,0.1387,11.177,4.75,9.866
198,0.7085,0.1386,11.129,3.832,9.887
199,0.7065,0.1386,11.841,5.27,9.065
200,0.7054,0.1385,12.307,5.12,9.088
201,0.7059,0.1384,11.711,4.051,9.862
202,0.7062,0.1383,12.451,4.458,9.64
203,0.7048,0.1382,11.922,4.668,8.933
204,0.7033,0.1382,11.444,4.694,8.514
205,0.7033,0.1381,11.39,3.974,8.971
206,0.7017,0.138,10.233,3.827,8.075
207,0.7007,0.1379,11.417,4.089,8.364
208,0.6997,0.1379,11.148,4.287,7.828
209,0.6986,0.1379,10.901,4.299,7.707
210,0.6993,0.1379,10.908,4.351,7.715
211,0.7045,0.1379,9.65,4.973,7.898
212,0.7083,0.138,8.882,5.424,8.41
213,0.7115,0.1381,8.604,5.282,8.885
214,0.7144,0.1382,7.674,2.827,9.658
215,0.7163,0.1383,8.114,4.843,9.977
216,0.7178,0.1384,8.108,3.354,10.288
217,0.7194,0.1384,9.389,6.29,10.224
218,0.722,0.1385,8.939,6.942,10.024
219,0.7233,0.1385,9.494,6.255,10.562
220,0.7234,0.1385,9.942,5.032,10.885
221,0.7242,0.1385,9.983,6.549,10.575
222,0.7261,0.1386,8.476,5.437,10.634
223,0.7268,0.1387,9.12,5.081,10.744
224,0.7279,0.1387,8.951,4.335,10.959
225,0.7289,0.1388,9.284,5.052,11.216
226,0.73,0.1389,9.764,6.754,10.8
227,0.7314,0.139,8.663,4.976,11.145
228,0.7321,0.139,8.262,3.736,11.425
229,0.7326,0.1391,8.727,4.471,11.387
230,0.7331,0.1391,9.016,4.844,11.242
231,0.7339,0.1392,8.243,3.525,11.7
232,0.734,0.1392,10.065,5.718,11.268
233,0.7342,0.1392,9.973,5.942,11.36
234,0.7343,0.1391,10.206,4.777,11.339
235,0.7325,0.1391,10.12,5.639,10.169
236,0.7313,0.1389,8.654,4.269,9.797
237,0.7278,0.1389,8.717,4.808,9.142
238,0.7241,0.1388,8.845,5.264,8.462
239,0.7226,0.1387,9.453,4.039,9.043
240,0.7214,0.1387,9.876,3.19,9.302
241,0.7188,0.1386,9.131,3.482,8.304
242,0.7182,0.1385,10.686,3.784,8.856
243,0.7169,0.1385,9.072,4.926,7.601
244,0.7168,0.1384,10.276,3.435,8.78
245,0.7146,0.1384,8.633,4.661,6.94
246,0.7133,0.1384,8.956,4.975,6.752
247,0.7127,0.1383,9.395,4.767,7.164
248,0.7122,0.1383,9.23,4.527,7.174
249,0.7123,0.1382,9.123,4.969,6.403
