step,cos,z,f_thumb,f_index,f_middle
0,0.0003,0.0122,0.959,0.38,0.0
1,0.0009,0.0121,0.915,0.473,0.0
2,0.0014,0.0121,0.958,0.624,0.0
3,0.0028,0.0122,1.008,0.776,0.0
4,0.0035,0.0122,1.316,0.937,0.419
5,0.0038,0.0122,1.596,1.135,0.544
6,0.0041,0.0122,1.815,1.311,0.637
7,0.0044,0.0122,1.96,1.435,0.708
8,0.0046,0.0122,2.041,1.505,0.763
9,0.0048,0.0122,2.084,1.545,0.795
10,0.005,0.0122,2.104,1.57,0.81
11,0.0051,0.0122,2.114,1.587,0.817
12,0.0053,0.0122,2.114,1.598,0.818
13,0.0054,0.0122,2.114,1.614,0.808
14,0.0055,0.0122,2.111,1.615,0.81
15,0.0056,0.0122,2.107,1.617,0.808
16,0.0057,0.0122,2.104,1.619,0.806
17,0.0058,0.0122,2.099,1.619,0.805
18,0.0059,0.0122,2.096,1.618,0.804
19,0.0059,0.0122,2.091,1.617,0.801
20,0.006,0.0123,2.089,1.616,0.8
21,0.0061,0.0123,2.088,1.615,0.8
22,0.0061,0.0123,2.085,1.613,0.798
23,0.0061,0.0123,2.081,1.611,0.797
24,0.0055,0.0166,1.365,0.822,0.725
25,0.0054,0.0264,0.983,0.542,0.521
26,0.0057,0.0379,0.99,0.58,0.453
27,0.006,0.0501,1.177,0.734,0.461
28,0.0064,0.0625,1.421,0.921,0.507
29,0.0067,0.075,1.631,1.079,0.555
30,0.007,0.0875,1.78,1.183,0.597
31,0.0072,0.1,1.869,1.243,0.625
32,0.0081,0.108,3.003,1.998,1.05
33,0.0084,0.1107,3.395,2.206,1.19
34,0.0084,0.1117,3.213,2.065,1.142
35,0.0084,0.112,2.891,1.832,1.053
36,0.0085,0.1121,2.59,1.626,0.96
37,0.0085,0.1121,2.363,1.479,0.881
38,0.0086,0.1122,2.222,1.389,0.83
39,0.0086,0.1122,2.142,1.339,0.8
40,0.0087,0.1122,2.097,1.31,0.783
41,0.0087,0.1122,2.073,1.295,0.774
42,0.0088,0.1122,2.058,1.286,0.768
43,0.0088,0.1122,2.05,1.28,0.765
44,0.0089,0.1122,2.044,1.277,0.762
45,0.0089,0.1122,2.041,1.274,0.761
46,0.009,0.1122,2.039,1.273,0.76
47,0.009,0.1122,2.038,1.272,0.76
48,0.009,0.1122,2.036,1.27,0.759
49,0.009,0.1122,2.034,1.268,0.759
50,0.009,0.1122,2.032,1.267,0.757
51,0.0091,0.1122,2.03,1.265,0.757
52,0.0091,0.1122,2.029,1.264,0.756
53,0.0091,0.1122,2.028,1.263,0.755
54,0.0091,0.1122,2.027,1.261,0.755
55,0.0091,0.1122,2.025,1.26,0.755
56,0.0091,0.1122,2.024,1.259,0.754
57,0.0091,0.1122,2.023,1.259,0.754
58,0.0209,0.1125,4.491,4.307,1.303
59,0.0341,0.1128,5.024,4.443,2.499
60,0.0482,0.1132,5.849,3.385,3.84
61,0.0612,0.1134,6.155,3.112,4.228
62,0.0741,0.1137,6.907,3.736,4.3
63,0.0886,0.1139,6.667,3.581,4.239
64,0.1046,0.1141,6.677,3.673,4.188
65,0.1213,0.1144,6.739,3.831,4.065
66,0.1388,0.1147,6.76,3.964,3.915
67,0.1569,0.1149,6.762,4.083,3.745
68,0.1757,0.1152,6.75,4.192,3.557
69,0.1951,0.1156,6.733,4.294,3.352
70,0.215,0.1159,6.713,4.39,3.131
71,0.2353,0.1163,6.695,4.481,2.899
72,0.2558,0.1167,6.697,4.573,2.674
73,0.2764,0.1171,6.714,4.665,2.458
74,0.297,0.1175,6.758,4.708,2.293
75,0.3175,0.118,6.806,4.668,2.223
76,0.3376,0.1184,6.843,4.606,2.247
77,0.3574,0.1189,6.882,4.546,2.344
78,0.3765,0.1194,6.792,4.528,2.274
79,0.395,0.1199,6.644,4.522,2.131
80,0.4128,0.1203,6.469,4.516,1.965
81,0.4299,0.1209,6.285,4.499,1.799
82,0.4463,0.1214,6.108,4.49,1.635
83,0.4622,0.1219,5.938,4.429,1.528
84,0.478,0.1224,5.633,4.232,1.423
85,0.4964,0.123,4.518,3.148,1.409
86,0.5105,0.1235,4.894,3.743,1.173
