step,cos,z,f_thumb,f_index,f_middle
0,0.002,0.0122,2.743,2.659,0.0
1,0.0054,0.0121,2.663,2.153,0.654
2,0.0056,0.012,2.516,2.248,0.789
3,0.0055,0.0119,2.61,2.541,0.877
4,0.0055,0.0118,2.81,2.895,0.992
5,0.0055,0.0117,3.062,3.215,1.109
6,0.0054,0.0116,3.294,3.497,1.261
7,0.0054,0.0115,3.464,3.713,1.421
8,0.0056,0.0115,3.577,3.87,1.577
9,0.0058,0.0114,3.653,3.99,1.721
10,0.0061,0.0113,3.709,4.094,1.851
11,0.0064,0.0113,3.753,4.189,1.963
12,0.0068,0.0112,3.793,4.274,2.068
13,0.0072,0.0111,3.823,4.361,2.154
14,0.0076,0.011,3.844,4.444,2.225
15,0.008,0.011,3.863,4.522,2.286
16,0.0084,0.0109,3.885,4.592,2.336
17,0.0087,0.0108,3.907,4.657,2.379
18,0.0089,0.0108,4.373,4.625,2.49
19,0.0091,0.0108,4.56,4.728,2.605
20,0.0093,0.0108,4.753,4.831,2.718
21,0.0094,0.0108,4.938,4.936,2.834
22,0.0095,0.0108,5.109,5.035,2.941
23,0.0095,0.0107,5.268,5.131,3.04
24,0.0094,0.0141,4.343,2.763,1.513
25,0.0086,0.0232,4.406,3.037,1.381
26,0.0078,0.0343,4.118,2.983,1.175
27,0.0079,0.0462,3.728,2.799,0.961
28,0.0087,0.0584,3.397,2.597,0.822
29,0.0097,0.0707,3.151,2.418,0.753
30,0.0107,0.083,2.947,2.259,0.708
31,0.0116,0.0954,2.787,2.131,0.677
32,0.0147,0.1035,2.972,2.51,0.498
33,0.017,0.1062,2.309,1.831,0.517
34,0.018,0.1071,2.193,1.596,0.598
35,0.0192,0.1074,2.19,1.529,0.658
36,0.0201,0.1075,2.236,1.525,0.71
37,0.0207,0.1075,2.289,1.543,0.748
38,0.0211,0.1074,2.33,1.561,0.771
39,0.0215,0.1073,2.355,1.574,0.783
40,0.0218,0.1073,2.366,1.58,0.788
41,0.0222,0.1072,2.37,1.58,0.79
42,0.0225,0.1071,2.367,1.578,0.791
43,0.0228,0.1071,2.362,1.573,0.79
44,0.023,0.107,2.355,1.567,0.789
45,0.0233,0.1069,2.347,1.56,0.787
46,0.0235,0.1069,2.339,1.553,0.785
47,0.0238,0.1068,2.33,1.546,0.783
48,0.024,0.1067,2.322,1.539,0.781
49,0.0242,0.1067,2.313,1.532,0.779
50,0.0244,0.1066,2.305,1.526,0.778
51,0.0246,0.1066,2.296,1.519,0.776
52,0.0248,0.1065,2.291,1.511,0.778
53,0.025,0.1065,2.283,1.501,0.778
54,0.0252,0.1064,2.275,1.496,0.777
55,0.0253,0.1064,2.268,1.489,0.776
56,0.0254,0.1063,2.261,1.483,0.774
57,0.0256,0.1063,2.254,1.477,0.773
58,0.0432,0.1063,3.136,2.308,1.481
59,0.0621,0.1064,3.765,2.527,1.723
60,0.0859,0.1066,1.166,0.0,0.75
61,0.1072,0.1067,4.77,2.323,2.893
62,0.1322,0.1073,5.472,3.44,3.952
63,0.1587,0.1079,5.802,2.509,3.699
64,0.1838,0.1086,6.055,2.669,3.887
65,0.2067,0.1092,5.765,2.4,3.742
66,0.2301,0.1098,6.325,3.132,4.203
67,0.2544,0.1104,6.238,2.464,3.866
68,0.2783,0.1111,6.178,2.369,3.815
69,0.3028,0.1117,6.164,2.811,3.679
70,0.327,0.1124,6.147,2.903,3.578
71,0.3511,0.113,6.103,3.153,3.487
72,0.375,0.1134,6.964,0.981,6.817
73,0.3986,0.1141,5.687,3.187,3.559
74,0.4218,0.1145,6.716,0.841,6.62
75,0.4441,0.1151,5.803,1.466,5.25
76,0.4661,0.1155,6.721,0.59,6.508
77,0.4876,0.1159,6.651,0.484,6.295
78,0.5086,0.1164,6.155,0.64,5.577
79,0.5286,0.1168,5.99,0.804,5.295
80,0.5487,0.1173,5.679,0.745,4.837
81,0.5678,0.1178,5.291,0.846,4.319
82,0.5859,0.1182,4.9,0.947,3.817
83,0.5992,0.1186,5.512,2.88,3.023
84,0.6129,0.119,6.212,3.728,2.691
85,0.6264,0.1194,6.539,4.038,2.574
86,0.6394,0.1198,6.722,4.19,2.541
87,0.6515,0.1202,6.807,4.284,2.521
88,0.6619,0.1207,7.83,5.037,2.829
89,0.6721,0.1212,7.887,5.09,2.835
90,0.6813,0.1217,8.645,5.831,2.84
91,0.6914,0.1221,8.304,5.454,2.888
92,0.7006,0.1225,7.77,4.964,2.853
93,0.7086,0.123,8.237,5.432,2.839
94,0.7163,0.1234,7.796,5.064,2.771
95,0.7236,0.1239,9.196,6.396,2.823
96,0.7313,0.1245,9.325,6.462,2.898
97,0.7385,0.125,9.183,6.289,2.928
98,0.7453,0.1255,8.911,6.017,2.94
99,0.7515,0.1261,9.469,6.442,3.069
100,0.7574,0.1266,9.31,6.415,2.911
101,0.7627,0.1271,9.361,6.274,3.137
102,0.7676,0.1275,8.502,5.638,2.91
103,0.7727,0.128,8.981,6.243,2.758
104,0.7815,0.1283,7.617,5.212,4.291
105,0.7873,0.1286,7.168,4.655,4.6
106,0.7902,0.1289,7.092,4.606,4.668
107,0.7935,0.1292,7.194,4.709,4.623
108,0.7967,0.1295,7.18,4.701,4.652
109,0.7995,0.1298,7.342,4.223,4.521
110,0.8021,0.1299,7.117,4.462,4.714
111,0.8042,0.1299,7.553,3.859,6.161
112,0.8061,0.1298,6.93,3.575,4.686
113,0.8099,0.13,7.125,4.483,4.849
114,0.8117,0.1302,7.162,3.726,4.645
115,0.8142,0.1304,7.262,4.416,4.8
116,0.8168,0.1306,7.702,3.793,5.256
117,0.8191,0.1308,7.751,4.057,5.44
118,0.8212,0.1309,7.89,3.747,4.939
119,0.8248,0.1312,7.6,4.687,5.424
120,0.8275,0.1313,7.303,4.64,5.063
121,0.8285,0.1313,7.666,4.044,6.206
122,0.8305,0.131,7.881,3.706,6.15
123,0.8316,0.1309,7.319,3.945,4.984
124,0.8348,0.131,7.218,4.194,4.709
125,0.8377,0.1312,7.198,4.215,4.764
126,0.8388,0.1313,7.249,4.131,4.713
127,0.8424,0.1314,7.254,4.328,4.618
128,0.8442,0.1316,7.524,4.085,4.451
129,0.8466,0.1316,7.962,4.59,5.493
130,0.8471,0.1314,8.232,4.483,5.825
131,0.8492,0.1311,8.283,4.297,5.893
132,0.8493,0.131,8.014,4.731,5.093
