step,cos,z,f_thumb,f_index,f_middle,clearance_mm,act_absmax
0,0.0015,0.0124,8.464,13.592,0.842,55.19,2.0
1,0.0012,0.0124,2.068,6.395,0.0,55.2,2.0
2,0.0011,0.0124,1.711,6.178,0.0,55.21,2.0
3,0.0011,0.0124,1.744,6.202,0.0,55.23,2.0
4,0.0011,0.0124,1.824,6.293,0.0,55.24,2.0
5,0.0011,0.0124,1.966,6.45,0.303,55.24,2.0
6,0.0012,0.0124,2.101,6.693,0.315,55.24,2.0
7,0.0012,0.0124,2.122,6.759,0.0,55.24,2.0
8,0.0013,0.0124,2.322,7.104,0.391,55.25,2.0
9,0.0013,0.0124,2.411,7.33,0.437,55.25,2.0
10,0.0013,0.0124,2.507,7.555,0.48,55.25,2.0
11,0.0014,0.0124,2.441,7.556,0.0,55.26,2.0
12,0.0014,0.0124,2.665,8.006,0.545,55.26,2.0
13,0.0014,0.0124,2.746,8.234,0.583,55.26,2.0
14,0.0014,0.0124,2.796,8.44,0.571,55.27,2.0
15,0.0015,0.0124,2.86,8.679,0.629,55.27,2.0
16,0.0015,0.0124,2.92,8.888,0.655,55.27,2.0
17,0.0016,0.0124,2.972,9.096,0.68,55.28,2.0
18,0.0016,0.0124,3.014,9.293,0.695,55.28,2.0
19,0.0016,0.0124,2.825,9.153,0.0,55.28,2.0
20,0.0016,0.0124,2.849,9.319,0.0,55.28,2.0
21,0.0017,0.0124,3.095,9.808,0.732,55.28,2.0
22,0.0017,0.0124,3.113,9.944,0.744,55.29,2.0
23,0.0017,0.0124,3.111,10.06,0.743,55.29,2.0
24,-0.003,0.0146,1.895,1.423,0.559,55.3,2.0
25,-0.0014,0.0229,1.593,1.141,0.523,55.29,2.0
26,0.0,0.0338,1.654,1.138,0.552,55.28,2.0
27,0.0014,0.0457,1.733,1.171,0.596,55.27,2.0
28,0.0027,0.058,1.773,1.192,0.62,55.26,2.0
29,0.004,0.0704,1.788,1.2,0.628,55.26,2.0
30,0.0053,0.0828,1.791,1.201,0.63,55.25,2.0
31,0.0065,0.0953,1.789,1.2,0.63,55.25,2.0
32,0.0076,0.1044,2.463,1.509,0.957,55.25,2.0
33,0.0089,0.108,2.096,1.442,0.668,55.25,2.0
34,0.0102,0.1092,1.886,1.359,0.576,55.24,2.0
35,0.0115,0.1097,1.794,1.31,0.543,55.24,2.0
36,0.0127,0.1098,1.758,1.285,0.529,55.23,2.0
37,0.0139,0.1099,1.743,1.274,0.523,55.23,2.0
38,0.0151,0.1099,1.735,1.269,0.52,55.22,2.0
39,0.0162,0.1099,1.729,1.264,0.518,55.22,2.0
40,0.0173,0.1099,1.723,1.26,0.516,55.21,2.0
41,0.0184,0.1098,1.718,1.256,0.515,55.21,2.0
42,0.0195,0.1098,1.714,1.253,0.514,55.2,2.0
43,0.0205,0.1098,1.709,1.249,0.512,55.2,2.0
44,0.0215,0.1098,1.705,1.246,0.511,55.19,2.0
45,0.0225,0.1098,1.701,1.242,0.51,55.19,2.0
46,0.0235,0.1098,1.697,1.239,0.509,55.18,2.0
47,0.0244,0.1097,1.693,1.236,0.508,55.18,2.0
48,0.0253,0.1097,1.69,1.233,0.507,55.18,2.0
49,0.0262,0.1097,1.686,1.23,0.506,55.17,2.0
50,0.027,0.1097,1.683,1.228,0.506,55.17,2.0
51,0.0279,0.1097,1.679,1.225,0.505,55.17,2.0
52,0.0287,0.1097,1.676,1.222,0.504,55.16,2.0
53,0.0295,0.1097,1.673,1.22,0.503,55.16,2.0
54,0.0303,0.1096,1.67,1.218,0.502,55.15,2.0
55,0.0311,0.1096,1.667,1.215,0.501,55.15,2.0
56,0.0318,0.1096,1.665,1.213,0.501,55.15,2.0
57,0.0325,0.1096,1.662,1.211,0.5,55.15,2.0
58,0.0473,0.1097,1.03,0.95,0.0,54.96,2.0
59,0.0635,0.1098,5.172,4.076,2.603,54.5,2.0
60,0.082,0.1099,4.981,3.407,2.371,53.97,2.0
61,0.101,0.11,5.137,3.254,2.357,53.41,2.0
62,0.1203,0.11,5.492,3.249,2.517,52.85,2.0
63,0.1399,0.1101,6.037,3.362,2.761,52.28,2.0
64,0.16,0.11,5.94,3.552,2.422,51.7,2.0
65,0.1813,0.1101,5.813,3.823,2.086,51.12,2.0
66,0.2032,0.1102,6.189,3.492,3.376,50.6,2.0
67,0.2208,0.1104,9.486,4.296,6.393,50.24,2.0
68,0.2383,0.1106,7.33,2.92,5.571,49.91,2.0
69,0.256,0.1107,6.945,2.829,5.145,49.56,2.0
70,0.2739,0.111,6.672,2.779,4.778,49.17,2.0
71,0.2918,0.1112,6.422,2.734,4.431,48.76,2.0
72,0.3096,0.1115,6.186,2.695,4.107,48.33,2.0
73,0.3274,0.1118,5.955,2.65,3.79,47.87,2.0
74,0.3449,0.1121,5.761,2.617,3.511,47.4,2.0
75,0.3623,0.1125,5.577,2.585,3.256,46.91,2.0
76,0.3793,0.1129,5.419,2.56,3.038,46.42,2.0
77,0.396,0.1132,5.281,2.54,2.849,45.91,2.0
78,0.4123,0.1136,5.157,2.521,2.689,45.4,2.0
79,0.4282,0.1141,5.058,2.509,2.567,44.87,2.0
80,0.4436,0.1145,4.964,2.495,2.471,44.35,2.0
81,0.4585,0.115,4.888,2.484,2.399,43.82,2.0
82,0.4728,0.1154,4.815,2.469,2.336,43.29,2.0
83,0.4872,0.1159,5.988,2.517,3.509,42.77,2.0
84,0.5024,0.1163,6.269,2.671,3.607,42.26,2.0
