step,cos,z,f_thumb,f_index,f_middle
133,0.6002,0.1189,4.353,2.222,2.152
134,0.6009,0.1185,3.777,1.899,1.881
135,0.6013,0.1181,3.627,1.807,1.811
136,0.6002,0.1178,4.322,2.392,1.903
137,0.6001,0.1175,3.931,2.216,1.78
138,0.5982,0.1172,5.026,3.255,1.866
139,0.5956,0.1169,6.075,4.228,2.187
140,0.5972,0.1168,7.524,3.914,4.91
141,0.6009,0.117,7.971,5.957,3.608
142,0.6032,0.1172,7.807,5.23,3.38
143,0.605,0.1174,9.928,6.116,4.018
144,0.6077,0.1175,6.524,4.935,3.251
145,0.6094,0.1177,9.729,6.073,3.974
146,0.612,0.1179,6.531,5.031,3.358
147,0.616,0.1181,7.721,4.173,3.495
148,0.6239,0.1182,8.256,4.166,4.467
149,0.6281,0.1182,5.647,2.378,3.517
150,0.6308,0.1179,1.802,1.635,0.0
151,0.6293,0.1176,5.061,3.189,1.862
152,0.6288,0.1173,3.935,2.283,1.802
153,0.6263,0.117,5.496,3.553,1.944
154,0.6255,0.1168,3.982,2.263,1.767
155,0.6244,0.1165,3.685,2.07,1.675
156,0.6212,0.1164,5.708,3.857,1.964
157,0.618,0.1162,6.159,4.263,2.063
158,0.6147,0.116,6.16,4.285,2.068
159,0.6116,0.1159,6.093,4.39,2.041
160,0.6111,0.1158,6.763,3.986,3.947
161,0.6127,0.1158,9.138,3.483,6.407
162,0.6189,0.1159,5.44,3.569,2.52
163,0.623,0.116,9.291,5.789,3.718
164,0.6308,0.1161,8.144,4.739,3.492
165,0.6363,0.1162,4.683,2.932,2.475
166,0.6433,0.1163,7.82,4.563,3.393
167,0.6451,0.1163,7.54,4.672,2.866
168,0.6457,0.1164,10.849,6.476,4.321
169,0.6459,0.1164,7.586,4.631,3.003
170,0.6425,0.1163,5.547,3.859,1.852
171,0.6416,0.1161,3.653,2.052,1.666
172,0.64,0.116,1.499,1.329,0.0
173,0.637,0.116,7.506,4.524,2.931
174,0.6334,0.1159,5.137,3.469,1.866
175,0.6307,0.1158,6.271,4.312,2.224
176,0.6271,0.1157,6.202,4.398,2.092
177,0.6251,0.1157,6.665,4.006,3.367
178,0.6215,0.1156,6.296,4.33,2.402
179,0.6196,0.1156,6.207,4.436,2.973
180,0.6196,0.1156,9.593,3.438,6.505
181,0.6273,0.1157,8.032,4.678,3.369
182,0.6318,0.1157,7.308,5.725,2.653
183,0.6397,0.1157,8.256,4.831,3.454
184,0.642,0.1157,7.596,5.251,2.701
185,0.6444,0.1158,10.961,6.818,4.139
186,0.6467,0.1157,8.343,5.197,3.199
187,0.6439,0.1157,8.371,5.357,3.869
188,0.6416,0.1156,6.766,3.92,3.354
189,0.6401,0.1154,7.75,5.051,3.033
190,0.6365,0.1153,6.733,4.383,2.296
191,0.6328,0.1153,6.574,4.418,2.651
192,0.6295,0.1153,7.307,3.885,3.858
193,0.6296,0.1154,8.037,4.202,3.907
194,0.6362,0.1154,8.128,4.503,4.512
195,0.6428,0.1153,5.352,3.386,2.194
196,0.6469,0.1154,10.149,5.997,4.657
197,0.6514,0.1154,10.266,6.784,3.82
198,0.6577,0.1154,9.426,6.116,3.62
199,0.6619,0.1154,7.331,5.87,2.61
200,0.6672,0.1155,8.723,5.036,3.625
201,0.6668,0.1154,8.296,5.183,3.08
