step,cos,z,f_thumb,f_index,f_middle
0,-0.0,0.0125,0.0,0.0,0.0
1,-0.0,0.0125,0.0,0.0,0.0
2,-0.0,0.0125,0.0,0.0,0.0
3,-0.0001,0.0125,0.859,0.525,0.0
4,-0.0001,0.0125,0.0,0.115,0.392
5,-0.0001,0.0125,1.655,0.801,0.817
6,-0.0,0.0125,1.558,0.813,0.828
7,-0.0,0.0125,1.541,0.862,0.849
8,-0.0,0.0125,1.51,1.047,0.881
9,-0.0,0.0125,1.485,1.079,0.896
10,-0.0,0.0125,1.467,1.11,0.914
11,0.0,0.0125,1.45,1.136,0.931
12,0.0,0.0125,1.432,1.161,0.942
13,0.0,0.0125,1.419,1.178,0.961
14,0.0,0.0125,1.406,1.193,0.979
15,0.0,0.0125,1.394,1.206,0.996
16,0.0,0.0125,1.383,1.217,1.012
17,0.0,0.0125,1.372,1.227,1.026
18,0.0,0.0125,1.364,1.236,1.042
19,-0.0,0.0125,1.356,1.242,1.056
20,-0.0,0.0125,1.349,1.248,1.07
21,-0.0,0.0125,1.343,1.254,1.081
22,-0.0,0.0125,1.337,1.259,1.094
23,-0.0,0.0125,1.332,1.263,1.105
24,-0.0008,0.0162,1.341,0.624,0.712
25,0.0014,0.0254,0.483,0.0,0.35
26,0.0014,0.0367,1.349,0.57,0.771
27,0.0011,0.0488,1.396,0.588,0.799
28,0.0009,0.0611,1.452,0.619,0.825
29,0.0007,0.0735,1.481,0.633,0.841
30,0.0005,0.086,1.494,0.639,0.848
31,0.0002,0.0985,1.499,0.642,0.85
32,-0.0002,0.107,2.401,0.988,1.432
33,-0.0008,0.1102,2.194,0.961,1.233
34,-0.0012,0.1114,1.842,0.824,1.018
35,-0.0014,0.1118,1.673,0.821,0.863
36,-0.0014,0.1119,1.6,0.804,0.807
37,-0.0015,0.112,1.57,0.807,0.775
38,-0.0015,0.112,1.559,0.806,0.765
39,-0.0015,0.112,1.555,0.807,0.76
40,-0.0015,0.112,1.554,0.8,0.765
41,-0.0015,0.112,1.552,0.802,0.761
42,-0.0014,0.112,1.551,0.805,0.757
43,-0.0014,0.112,1.55,0.808,0.754
44,-0.0014,0.112,1.55,0.81,0.751
45,-0.0014,0.112,1.55,0.813,0.748
46,-0.0014,0.112,1.55,0.811,0.75
47,-0.0013,0.112,1.55,0.811,0.749
48,-0.0007,0.112,1.694,0.843,0.855
49,-0.0008,0.112,1.627,0.855,0.781
50,-0.0008,0.112,1.569,0.832,0.747
51,-0.0003,0.112,1.688,0.868,0.825
52,-0.0003,0.112,1.589,0.854,0.746
53,0.0003,0.112,1.71,0.875,0.839
54,0.0002,0.112,1.601,0.871,0.741
55,0.0008,0.1119,1.713,0.881,0.837
56,0.0008,0.1119,1.606,0.851,0.762
57,0.0013,0.1119,1.697,0.88,0.821
58,0.011,0.1119,6.047,1.3,5.937
59,0.0237,0.1119,4.752,3.015,2.851
60,0.0325,0.1119,1.24,0.852,0.0
61,0.0401,0.1119,7.92,2.245,4.727
62,0.0485,0.1119,7.676,2.236,4.549
63,0.057,0.112,7.679,2.272,4.533
64,0.0655,0.1121,7.676,2.302,4.522
65,0.074,0.1122,7.676,2.34,4.52
66,0.0826,0.1123,7.68,2.365,4.524
67,0.0911,0.1125,7.687,2.399,4.539
68,0.1048,0.1126,6.428,2.094,3.642
69,0.1175,0.1127,6.206,2.406,4.237
70,0.1324,0.1129,6.501,2.335,2.952
71,0.1489,0.1131,6.892,3.215,2.545
72,0.1656,0.1132,6.854,3.096,2.336
73,0.1823,0.1134,6.82,3.021,2.17
74,0.1991,0.1137,6.827,2.992,2.081
75,0.2159,0.1139,6.793,2.923,2.057
76,0.2325,0.1142,6.797,2.877,2.121
77,0.2487,0.1145,6.793,2.86,2.145
78,0.2643,0.1148,6.122,2.594,2.288
79,0.2778,0.1151,6.712,2.492,2.036
80,0.2909,0.1154,6.492,2.249,1.897
81,0.3034,0.1157,6.335,2.128,1.915
82,0.3158,0.116,6.166,1.99,2.088
83,0.3307,0.1163,5.89,2.891,2.947
84,0.3456,0.1167,6.914,1.544,3.832
85,0.3598,0.117,6.803,1.606,3.741
86,0.3736,0.1174,6.695,1.709,3.667
87,0.3865,0.1177,7.935,2.233,3.955
88,0.3992,0.118,6.608,1.942,3.605
89,0.4111,0.1184,8.01,2.467,3.896
90,0.4226,0.1187,7.194,2.293,3.712
91,0.4336,0.119,8.918,2.959,4.021
92,0.4443,0.1194,9.066,3.087,4.027
93,0.4545,0.1197,9.046,3.058,4.016
94,0.4644,0.12,9.429,2.971,4.72
95,0.4739,0.1203,9.705,3.02,4.98
96,0.4835,0.1206,9.924,2.968,4.982
97,0.4927,0.121,9.965,2.97,4.972
98,0.5015,0.1213,9.995,2.971,4.958
99,0.5081,0.1216,9.079,3.158,5.356
100,0.516,0.1219,10.02,2.992,4.919
101,0.5235,0.1222,10.065,3.002,4.946
102,0.5284,0.1225,8.691,3.396,6.526
103,0.5305,0.1226,7.505,4.129,4.876
104,0.5345,0.1228,9.629,3.47,9.146
105,0.5372,0.1229,9.229,3.605,8.663
106,0.5405,0.1231,7.713,3.697,6.718
107,0.543,0.1232,9.519,3.071,9.398
108,0.5443,0.1232,7.897,3.303,7.148
109,0.5526,0.1231,3.625,0.0,3.331
110,0.5596,0.123,12.167,5.039,9.903
111,0.5604,0.1229,8.72,4.167,6.381
112,0.5634,0.1227,7.167,4.402,3.553
113,0.5667,0.1225,6.583,4.325,3.373
114,0.5702,0.1223,6.938,4.436,3.366
115,0.5709,0.1221,8.135,5.917,3.454
116,0.5731,0.122,7.217,5.123,3.445
117,0.576,0.1218,6.806,5.485,2.972
118,0.5874,0.1216,7.451,5.648,3.436
119,0.5951,0.1218,9.958,5.881,7.763
120,0.6048,0.1218,8.753,5.144,6.855
121,0.6061,0.1218,9.984,3.526,7.265
122,0.6048,0.1217,7.259,5.419,3.447
123,0.6063,0.1217,8.34,4.556,6.358
124,0.6175,0.1216,4.153,3.841,0.0
125,0.624,0.1216,9.447,4.719,7.462
126,0.6356,0.1216,7.55,5.863,4.153
127,0.6504,0.1218,8.887,4.789,7.205
128,0.6512,0.1218,8.474,3.492,6.282
129,0.6506,0.1218,6.911,4.907,3.766
130,0.65,0.1218,6.764,4.988,3.506
131,0.6496,0.1219,6.86,4.433,4.172
132,0.6508,0.1219,3.191,0.0,2.59
133,0.6718,0.1219,4.964,4.371,0.0
134,0.69,0.1217,7.863,6.588,2.933
135,0.6961,0.1219,7.981,4.07,5.907
136,0.6997,0.122,9.715,2.157,7.634
137,0.6993,0.1221,6.373,4.398,3.337
138,0.6989,0.1222,6.526,4.599,3.306
139,0.6982,0.1223,6.58,4.628,3.303
140,0.6996,0.1224,6.558,5.412,3.458
141,0.7111,0.1225,3.405,0.0,2.801
142,0.7242,0.1226,7.663,6.759,2.973
143,0.7292,0.1227,6.501,5.644,3.057
144,0.7329,0.1229,6.519,5.697,3.016
145,0.7319,0.123,6.472,4.438,3.034
146,0.7309,0.1232,6.577,4.459,3.021
147,0.7301,0.1234,6.574,4.63,3.038
148,0.73,0.1236,6.898,5.548,3.154
149,0.744,0.1236,7.688,7.03,3.028
