step,cos,z,f_thumb,f_index,f_middle
133,0.7356,0.1164,6.986,4.894,3.627
134,0.7381,0.1163,6.905,4.25,2.988
135,0.7406,0.1163,6.826,4.227,2.908
136,0.7429,0.1163,6.801,4.238,2.848
137,0.7452,0.1163,6.782,4.25,2.792
138,0.7474,0.1163,6.771,4.486,2.742
139,0.7512,0.1164,7.09,6.273,2.771
140,0.7569,0.1165,7.378,6.584,2.769
141,0.7622,0.1167,7.342,6.568,2.722
142,0.7671,0.1168,7.453,6.126,3.423
143,0.7749,0.117,8.036,7.676,2.256
144,0.7804,0.1172,8.271,7.851,2.258
145,0.7856,0.1173,8.625,7.289,3.151
146,0.7899,0.1175,8.443,6.796,3.008
147,0.7984,0.1177,8.327,7.692,2.789
148,0.8022,0.1179,10.161,7.77,2.685
149,0.8029,0.1179,10.591,7.72,3.16
150,0.8035,0.118,10.499,7.529,3.308
151,0.8023,0.118,9.659,6.485,4.076
152,0.8029,0.118,7.187,4.576,2.654
153,0.8065,0.1182,7.19,6.233,2.695
154,0.8091,0.1183,9.748,7.936,2.028
155,0.811,0.1185,11.118,8.626,2.55
156,0.8119,0.1185,9.344,5.853,3.723
157,0.8109,0.1185,10.262,6.942,4.197
158,0.8064,0.1184,10.737,7.131,4.19
159,0.8071,0.1184,11.596,8.039,4.122
160,0.8104,0.1184,10.648,7.099,3.545
161,0.8134,0.1185,10.614,7.094,3.509
162,0.8161,0.1185,10.53,7.064,3.449
163,0.8181,0.1185,10.352,6.753,3.617
164,0.8188,0.1186,11.791,8.744,3.257
165,0.819,0.1186,11.26,8.019,3.543
166,0.8204,0.1187,10.148,7.389,2.837
167,0.8203,0.1187,10.451,6.921,4.561
168,0.8195,0.1186,5.965,5.715,0.0
169,0.8213,0.1186,7.557,4.721,2.785
170,0.8233,0.1187,7.165,4.851,2.44
171,0.826,0.1188,6.876,5.055,2.565
172,0.8269,0.1188,7.402,4.831,2.549
173,0.8278,0.1189,7.222,4.704,2.493
174,0.8291,0.119,6.628,4.22,2.487
175,0.8305,0.1191,8.4,6.214,2.273
176,0.8305,0.1192,10.461,7.489,3.258
177,0.8275,0.1192,9.612,6.645,4.628
178,0.8256,0.1192,8.636,5.86,3.868
179,0.8265,0.1193,8.237,5.745,2.511
180,0.83,0.1195,10.498,8.926,2.24
181,0.829,0.1194,10.369,6.693,4.234
182,0.827,0.1194,9.319,6.433,4.43
183,0.8228,0.1193,9.395,5.172,4.357
184,0.8229,0.1193,7.815,4.933,2.897
185,0.8249,0.1195,11.044,8.487,2.607
186,0.8275,0.1194,10.117,6.325,3.837
187,0.8284,0.1195,9.999,6.994,3.086
188,0.8285,0.1194,9.311,5.857,3.794
189,0.8278,0.1194,9.502,6.212,3.986
190,0.8267,0.1195,10.409,7.18,3.877
191,0.8277,0.1195,9.797,6.456,3.389
192,0.8286,0.1195,10.251,7.084,3.215
193,0.8275,0.1195,10.46,7.188,3.959
194,0.8259,0.1196,10.381,7.093,4.154
195,0.8287,0.1196,9.583,6.06,3.544
196,0.8327,0.1195,9.667,6.448,3.645
197,0.8298,0.1195,11.233,7.673,4.71
198,0.828,0.1195,10.693,7.293,4.509
199,0.8311,0.1195,10.257,7.604,2.876
200,0.8303,0.1195,10.624,7.218,4.079
201,0.827,0.1194,10.14,7.315,5.419
202,0.8281,0.1195,10.33,7.3,3.078
203,0.8294,0.1194,9.538,6.065,3.482
204,0.8316,0.1195,10.106,7.229,2.927
205,0.8356,0.1195,9.616,6.829,3.462
206,0.8353,0.1195,11.47,7.939,4.07
207,0.8345,0.1195,11.489,8.005,4.069
208,0.8368,0.1195,10.095,6.852,3.265
209,0.8369,0.1194,10.368,6.798,4.045
210,0.8365,0.1193,10.152,6.735,4.145
211,0.8355,0.1193,10.247,7.123,3.626
212,0.8349,0.1194,10.055,6.952,3.64
213,0.835,0.1194,7.615,4.866,2.881
214,0.8359,0.1194,6.926,4.339,2.548
215,0.8362,0.1195,9.902,7.273,2.756
216,0.835,0.1195,9.936,6.781,4.0
217,0.8337,0.1194,8.996,6.082,4.335
218,0.8327,0.1195,10.473,7.362,3.624
219,0.8315,0.1194,9.53,6.43,4.259
220,0.831,0.1195,10.608,7.569,3.457
221,0.83,0.1194,9.636,6.474,4.122
222,0.8299,0.1194,10.328,7.22,3.474
223,0.829,0.1193,9.141,6.035,4.287
224,0.8289,0.1194,9.303,6.437,3.095
225,0.83,0.1194,10.044,6.999,3.069
226,0.8284,0.1194,9.711,6.634,4.092
227,0.8278,0.1194,8.42,5.658,3.087
228,0.8293,0.1195,11.333,8.91,2.498
229,0.8279,0.1194,10.189,6.572,4.495
230,0.8266,0.1193,10.316,7.069,4.153
231,0.8257,0.1193,10.214,6.983,4.529
232,0.8245,0.1192,10.976,7.544,4.268
233,0.824,0.1192,11.299,7.987,3.801
234,0.8222,0.1192,10.257,6.99,4.394
235,0.8202,0.1191,9.393,6.428,4.223
236,0.8211,0.1191,8.395,5.278,3.125
237,0.823,0.119,7.943,3.818,4.01
238,0.8245,0.1191,9.208,7.238,2.042
239,0.8248,0.1192,10.27,7.572,2.949
240,0.8231,0.1192,9.535,6.561,4.278
241,0.822,0.1192,7.929,5.264,3.138
242,0.8222,0.1192,7.981,5.337,2.661
243,0.8216,0.1193,10.335,7.425,3.367
244,0.8238,0.1193,9.605,6.718,2.895
245,0.8236,0.1192,8.704,5.265,3.416
246,0.8242,0.1193,8.003,5.592,2.507
247,0.8207,0.1193,9.448,6.684,4.462
248,0.8174,0.1193,10.043,6.999,3.916
249,0.8166,0.1193,10.365,7.44,3.022
